ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600729.SH,20200225,26.61,26.98,26.5,26.91,27.0,-0.08999999999999986,-0.3333,67830.04,181423.842
600729.SH,20200224,26.9,27.16,26.68,27.0,26.96,0.03999999999999915,0.1484,56868.88,152870.9
600729.SH,20200221,27.38,27.38,26.91,26.96,27.19,-0.23000000000000043,-0.8459,45794.37,123800.307
600729.SH,20200220,26.78,27.48,26.67,27.19,26.65,0.5400000000000027,2.0263,70809.45,192428.044
600729.SH,20200219,26.89,26.89,26.47,26.65,26.89,-0.240000000000002,-0.8925,52985.48,141294.528
600729.SH,20200218,27.16,27.23,26.69,26.89,27.15,-0.259999999999998,-0.9576,48545.35,130241.211
600729.SH,20200217,26.45,27.25,26.37,27.15,26.36,0.7899999999999991,2.997,65342.01,175773.756
600729.SH,20200214,26.21,26.45,26.06,26.36,26.21,0.14999999999999858,0.5723,44816.92,117777.999
600729.SH,20200213,26.5,26.66,26.06,26.21,26.55,-0.33999999999999986,-1.2806,44207.56,116447.604
600729.SH,20200212,26.51,26.65,26.37,26.55,26.51,0.03999999999999915,0.1509,39163.42,103929.237
600729.SH,20200211,26.66,26.66,26.26,26.51,26.63,-0.11999999999999744,-0.4506,50542.24,133743.842
600729.SH,20200210,26.03,26.71,25.85,26.63,26.2,0.4299999999999997,1.6412,54039.07,142230.851
600729.SH,20200207,25.8,26.26,25.71,26.2,25.94,0.259999999999998,1.0023,39686.86,103109.248
600729.SH,20200206,25.76,26.08,25.51,25.94,25.78,0.16000000000000014,0.6206,71155.91,183164.936
600729.SH,20200205,26.03,26.47,25.42,25.78,26.0,-0.21999999999999886,-0.8462,120128.6,309642.037
600729.SH,20200204,25.02,26.21,24.98,26.0,24.93,1.0700000000000003,4.292,107867.85,274456.918
600729.SH,20200203,24.93,25.0,24.93,24.93,27.7,-2.7699999999999996,-10.0,35355.0,88141.307
600729.SH,20200123,29.07,29.31,27.6,27.7,29.71,-2.0100000000000016,-6.7654,74008.16,208567.879
600729.SH,20200122,29.6,30.1,29.21,29.71,29.69,0.019999999999999574,0.0674,40958.42,121855.989
600729.SH,20200121,31.22,31.5,29.6,29.69,31.54,-1.8499999999999979,-5.8656,62687.91,189546.618
600729.SH,20200120,31.59,32.29,31.17,31.54,31.32,0.21999999999999886,0.7024,51207.46,161988.408
600729.SH,20200117,31.49,31.97,30.93,31.32,31.49,-0.16999999999999815,-0.5399,35957.75,113092.704
600729.SH,20200116,31.94,32.28,31.4,31.49,31.84,-0.3500000000000014,-1.0992,33141.0,104933.346
600729.SH,20200115,32.1,32.52,31.8,31.84,32.14,-0.3000000000000007,-0.9334,29132.53,93337.572
600729.SH,20200114,31.85,32.54,31.58,32.14,31.75,0.39000000000000057,1.2283,44026.88,141221.496
600729.SH,20200113,31.69,31.97,31.4,31.75,31.61,0.14000000000000057,0.4429,27636.09,87499.057
600729.SH,20200110,31.6,32.17,31.11,31.61,31.31,0.3000000000000007,0.9582,34670.64,109969.796
600729.SH,20200109,31.43,31.89,30.77,31.31,31.1,0.2099999999999973,0.6752,38521.9,120405.236
600729.SH,20200108,31.37,31.61,30.9,31.1,31.68,-0.5799999999999983,-1.8308,42949.77,133968.712
600729.SH,20200107,29.85,32.02,29.85,31.68,30.04,1.6400000000000006,5.4594,70092.78,218978.843
600729.SH,20200106,29.55,30.19,29.25,30.04,29.54,0.5,1.6926,42277.31,126169.612
600729.SH,20200103,29.85,29.9,29.46,29.54,29.84,-0.3000000000000007,-1.0054,45985.65,135984.657
600729.SH,20200102,30.0,30.02,29.38,29.84,29.85,-0.010000000000001563,-0.0335,41022.62,121739.892
600729.SH,20191231,29.62,29.88,29.24,29.85,29.62,0.23000000000000043,0.7765,42645.36,125944.21
600729.SH,20191230,29.72,29.8,29.28,29.62,29.69,-0.07000000000000028,-0.2358,42417.93,125170.374
600729.SH,20191227,29.3,30.1,29.3,29.69,29.63,0.060000000000002274,0.2025,34863.29,103759.05
600729.SH,20191226,29.0,29.7,28.79,29.63,28.85,0.7799999999999976,2.7036,38804.75,113964.299
600729.SH,20191225,28.63,29.02,28.42,28.85,28.65,0.20000000000000284,0.6981,20647.9,59481.74
600729.SH,20191224,28.49,28.96,28.27,28.65,28.46,0.18999999999999773,0.6676,22907.66,65609.791
600729.SH,20191223,28.95,29.05,28.45,28.46,29.04,-0.5799999999999983,-1.9972,33910.95,97425.024
600729.SH,20191220,29.13,29.28,28.95,29.04,29.28,-0.240000000000002,-0.8197,22130.82,64311.873
600729.SH,20191219,29.09,29.39,28.94,29.28,29.06,0.22000000000000242,0.7571,24932.0,72688.899
600729.SH,20191218,29.53,29.58,29.01,29.06,29.53,-0.4700000000000024,-1.5916,38895.91,113579.018
600729.SH,20191217,29.3,29.8,29.26,29.53,29.4,0.13000000000000256,0.4422,27513.76,81307.53
600729.SH,20191216,29.3,29.66,29.01,29.4,29.09,0.3099999999999987,1.0657,35835.97,105102.541
600729.SH,20191213,29.2,29.26,28.84,29.09,29.01,0.0799999999999983,0.2758,23568.79,68423.681
600729.SH,20191212,29.15,29.28,28.83,29.01,29.15,-0.13999999999999702,-0.4803,23191.11,67351.578
600729.SH,20191211,29.34,29.5,28.81,29.15,29.26,-0.11000000000000298,-0.3759,27242.03,79186.524
600729.SH,20191210,28.68,29.33,28.68,29.26,28.81,0.45000000000000284,1.562,37962.41,110632.064
600729.SH,20191209,28.26,29.2,28.06,28.81,28.19,0.6199999999999974,2.1994,49687.2,142287.634
600729.SH,20191206,27.95,28.68,27.77,28.19,27.75,0.4400000000000013,1.5856,31240.72,88181.321
600729.SH,20191205,27.6,27.87,27.6,27.75,27.57,0.17999999999999972,0.6529,23548.9,65430.459
600729.SH,20191204,27.46,27.73,27.45,27.57,27.54,0.030000000000001137,0.1089,16918.69,46649.595
600729.SH,20191203,27.79,27.86,27.48,27.54,27.79,-0.25,-0.8996,26618.16,73561.502
600729.SH,20191202,27.76,27.89,27.6,27.79,27.7,0.08999999999999986,0.3249,12102.44,33631.988
600729.SH,20191129,27.84,27.97,27.58,27.7,27.73,-0.030000000000001137,-0.1082,13781.98,38221.249
600729.SH,20191128,27.83,27.84,27.64,27.73,27.78,-0.05000000000000071,-0.18,11640.73,32288.932
600729.SH,20191127,27.68,27.95,27.49,27.78,27.79,-0.00999999999999801,-0.036,15352.8,42566.883
600729.SH,20191126,27.97,27.98,27.64,27.79,27.87,-0.08000000000000185,-0.287,16527.14,45874.99
600729.SH,20191125,27.86,27.98,27.55,27.87,27.87,0.0,0.0,17191.76,47701.253
600729.SH,20191122,27.77,28.34,27.63,27.87,27.77,0.10000000000000142,0.3601,24582.03,68544.136
600729.SH,20191121,28.35,28.43,27.73,27.77,28.37,-0.6000000000000014,-2.1149,22272.05,62166.505
600729.SH,20191120,28.16,28.55,28.08,28.37,28.27,0.10000000000000142,0.3537,18639.0,52829.975
600729.SH,20191119,27.7,28.31,27.53,28.27,27.64,0.629999999999999,2.2793,21443.1,60081.856
600729.SH,20191118,27.63,27.81,27.39,27.64,27.68,-0.03999999999999915,-0.1445,19486.94,53713.105
600729.SH,20191115,27.8,27.98,27.51,27.68,27.87,-0.19000000000000128,-0.6817,14767.24,40976.516
600729.SH,20191114,27.98,28.02,27.53,27.87,27.86,0.010000000000001563,0.0359,22138.82,61461.671
600729.SH,20191113,27.97,28.05,27.63,27.86,27.81,0.05000000000000071,0.1798,14737.72,41059.265
600729.SH,20191112,27.73,27.99,27.69,27.81,27.79,0.019999999999999574,0.072,16956.14,47130.512
600729.SH,20191111,28.54,28.54,27.76,27.79,28.48,-0.6900000000000013,-2.4228,31508.53,88450.35
600729.SH,20191108,28.6,28.94,28.44,28.48,28.52,-0.03999999999999915,-0.1403,19886.77,56866.48
600729.SH,20191107,28.15,28.75,28.13,28.52,28.43,0.08999999999999986,0.3166,21154.51,60378.754
600729.SH,20191106,28.76,28.96,28.31,28.43,28.7,-0.2699999999999996,-0.9408,19855.55,56689.817
600729.SH,20191105,28.67,29.04,28.53,28.7,28.67,0.029999999999997584,0.1046,26857.22,77354.385
600729.SH,20191104,28.26,28.73,28.11,28.67,28.14,0.5300000000000011,1.8834,37204.62,105954.449
600729.SH,20191101,28.26,28.4,27.7,28.14,28.26,-0.120000000000001,-0.4246,44773.77,125710.499
600729.SH,20191031,28.19,28.66,28.13,28.26,28.26,0.0,0.0,29110.82,82570.319
600729.SH,20191030,28.71,28.72,28.2,28.26,28.73,-0.46999999999999886,-1.6359,39772.03,113021.95
600729.SH,20191029,29.07,29.07,28.53,28.73,29.07,-0.33999999999999986,-1.1696,38661.46,110987.819
600729.SH,20191028,29.04,29.48,28.64,29.07,29.01,0.05999999999999872,0.2068,58470.63,169149.127
600729.SH,20191025,29.54,29.61,28.81,29.01,29.61,-0.5999999999999979,-2.0263,44584.84,129324.788
600729.SH,20191024,29.82,30.02,29.15,29.61,29.76,-0.15000000000000213,-0.504,30392.29,89599.448
600729.SH,20191023,30.1,30.3,29.74,29.76,30.2,-0.4399999999999977,-1.457,24752.05,74065.43
600729.SH,20191022,29.99,30.5,29.3,30.2,29.75,0.4499999999999993,1.5126,45800.49,136720.555
600729.SH,20191021,31.55,32.48,29.0,29.75,30.8,-1.0500000000000007,-3.4091,107785.07,331630.732
600729.SH,20191018,29.98,31.48,29.98,30.8,29.94,0.8599999999999994,2.8724,58936.46,182907.768
600729.SH,20191017,30.08,30.45,29.75,29.94,30.2,-0.259999999999998,-0.8609,21897.57,65773.783
600729.SH,20191016,30.31,30.86,30.11,30.2,30.48,-0.28000000000000114,-0.9186,19055.0,57908.73
600729.SH,20191015,30.9,31.11,30.31,30.48,30.78,-0.3000000000000007,-0.9747,28699.8,87910.897
600729.SH,20191014,30.15,31.11,29.82,30.78,29.65,1.1300000000000026,3.8111,90246.54,277059.764
600729.SH,20191011,28.3,29.8,28.2,29.65,28.4,1.25,4.4014,58650.5,170622.12
600729.SH,20191010,28.56,28.79,28.1,28.4,28.56,-0.16000000000000014,-0.5602,36896.52,104538.192
600729.SH,20191009,28.22,28.64,28.21,28.56,28.37,0.18999999999999773,0.6697,16434.46,46710.796
600729.SH,20191008,28.53,28.79,28.25,28.37,28.67,-0.3000000000000007,-1.0464,30732.85,87451.199
600729.SH,20190930,28.6,29.13,28.5,28.67,28.58,0.09000000000000341,0.3149,36163.03,104309.459
600729.SH,20190927,28.44,29.23,28.44,28.58,28.85,-0.2700000000000031,-0.9359,40944.78,118003.002
600729.SH,20190926,29.6,29.64,28.36,28.85,29.31,-0.4599999999999973,-1.5694,47979.65,138589.689
600729.SH,20190925,29.96,29.96,29.2,29.31,29.85,-0.5400000000000027,-1.809,38421.07,113467.524
600729.SH,20190924,30.59,30.79,29.8,29.85,30.37,-0.5199999999999996,-1.7122,46668.09,141210.064
600729.SH,20190923,30.3,30.8,29.66,30.37,30.51,-0.14000000000000057,-0.4589,58676.85,177381.338
600729.SH,20190920,31.02,31.03,30.25,30.51,30.7,-0.18999999999999773,-0.6189,41737.4,127307.186
600729.SH,20190919,30.44,31.34,30.29,30.7,30.44,0.259999999999998,0.8541,65029.36,199878.762
600729.SH,20190918,30.24,30.74,30.11,30.44,30.1,0.33999999999999986,1.1296,49011.45,149166.947
600729.SH,20190917,30.38,30.86,30.08,30.1,30.32,-0.21999999999999886,-0.7256,78191.82,238068.169
600729.SH,20190916,30.06,30.5,29.5,30.32,30.01,0.3099999999999987,1.033,79693.77,240195.738
600729.SH,20190912,27.85,30.49,27.83,30.01,27.74,2.270000000000003,8.1831,135561.63,397876.51
600729.SH,20190911,27.92,27.97,27.67,27.74,27.9,-0.16000000000000014,-0.5735,29603.56,82215.018
600729.SH,20190910,28.11,28.13,27.7,27.9,28.1,-0.20000000000000284,-0.7117,25561.0,71198.838
