ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600127.SH,20200225,4.88,4.98,4.75,4.94,5.06,-0.11999999999999922,-2.3715,558760.72,273410.365
600127.SH,20200224,4.72,5.18,4.68,5.06,4.72,0.33999999999999986,7.2034,717108.62,352931.088
600127.SH,20200221,4.55,4.81,4.55,4.72,4.76,-0.040000000000000036,-0.8403,459139.35,216402.234
600127.SH,20200220,4.7,4.82,4.62,4.76,4.8,-0.040000000000000036,-0.8333,496425.87,234720.514
600127.SH,20200219,4.81,4.94,4.72,4.8,5.06,-0.2599999999999998,-5.1383,772164.93,371410.091
600127.SH,20200218,5.14,5.43,4.95,5.06,4.95,0.10999999999999943,2.2222,1338200.48,687643.704
600127.SH,20200217,4.8,4.95,4.8,4.95,4.5,0.4500000000000002,10.0,210866.54,103991.356
600127.SH,20200214,4.33,4.59,4.3,4.5,4.42,0.08000000000000007,1.81,623610.62,278030.704
600127.SH,20200213,4.26,4.6,4.17,4.42,4.26,0.16000000000000014,3.7559,693444.62,308192.049
600127.SH,20200212,4.15,4.34,4.06,4.26,4.15,0.10999999999999943,2.6506,392067.26,166859.427
600127.SH,20200211,4.51,4.52,4.12,4.15,4.42,-0.2699999999999996,-6.1086,535232.99,227235.286
600127.SH,20200210,4.03,4.42,4.01,4.42,4.02,0.40000000000000036,9.9502,578715.45,250032.53
600127.SH,20200207,4.09,4.14,3.98,4.02,4.13,-0.11000000000000032,-2.6634,259996.11,105002.713
600127.SH,20200206,3.94,4.18,3.93,4.13,3.92,0.20999999999999996,5.3571,397098.29,162075.982
600127.SH,20200205,3.68,4.07,3.68,3.92,3.78,0.14000000000000012,3.7037,296580.38,115452.651
600127.SH,20200204,3.14,3.84,3.14,3.78,3.49,0.2899999999999996,8.3095,303536.48,106371.692
600127.SH,20200203,3.49,3.49,3.49,3.49,3.88,-0.3899999999999997,-10.0515,43343.0,15126.707
600127.SH,20200123,4.04,4.04,3.77,3.88,4.05,-0.16999999999999993,-4.1975,122335.5,47985.148
600127.SH,20200122,4.07,4.07,3.99,4.05,4.08,-0.03000000000000025,-0.7353,73413.34,29654.646
600127.SH,20200121,4.11,4.13,4.07,4.08,4.11,-0.03000000000000025,-0.7299,67364.19,27530.025
600127.SH,20200120,4.09,4.13,4.07,4.11,4.08,0.03000000000000025,0.7353,59958.0,24571.443
600127.SH,20200117,4.15,4.16,4.08,4.08,4.14,-0.05999999999999961,-1.4493,72619.0,29862.347
600127.SH,20200116,4.17,4.17,4.12,4.14,4.15,-0.010000000000000675,-0.241,66254.94,27463.561
600127.SH,20200115,4.2,4.2,4.14,4.15,4.24,-0.08999999999999986,-2.1226,104100.32,43276.962
