ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600609.SH,20200225,3.85,4.22,3.81,4.09,3.92,0.16999999999999993,4.3367,264176.11,106346.86
600609.SH,20200224,3.76,4.08,3.71,3.92,3.82,0.10000000000000009,2.6178,207464.59,80381.729
600609.SH,20200221,3.65,3.87,3.6,3.82,3.64,0.17999999999999972,4.9451,178260.35,66570.575
600609.SH,20200220,3.62,3.65,3.56,3.64,3.61,0.03000000000000025,0.831,62505.05,22570.876
600609.SH,20200219,3.6,3.66,3.58,3.61,3.62,-0.010000000000000231,-0.2762,43196.59,15654.915
600609.SH,20200218,3.55,3.63,3.55,3.62,3.55,0.07000000000000028,1.9718,59768.64,21489.61
600609.SH,20200217,3.5,3.58,3.48,3.55,3.47,0.07999999999999963,2.3055,72091.64,25573.527
600609.SH,20200214,3.47,3.51,3.47,3.47,3.47,0.0,0.0,31270.38,10901.158
600609.SH,20200213,3.55,3.59,3.44,3.47,3.58,-0.10999999999999988,-3.0726,72344.0,25396.011
600609.SH,20200212,3.52,3.59,3.49,3.58,3.58,0.0,0.0,52597.1,18714.171
600609.SH,20200211,3.71,3.71,3.57,3.58,3.71,-0.1299999999999999,-3.504,76182.69,27662.053
600609.SH,20200210,3.59,3.77,3.51,3.71,3.59,0.1200000000000001,3.3426,55661.81,20571.711
600609.SH,20200207,3.56,3.62,3.54,3.59,3.6,-0.010000000000000231,-0.2778,32565.84,11656.56
600609.SH,20200206,3.66,3.66,3.53,3.6,3.64,-0.040000000000000036,-1.0989,57357.6,20606.349
600609.SH,20200205,3.73,3.8,3.6,3.64,3.75,-0.10999999999999988,-2.9333,90060.72,33179.282
600609.SH,20200204,3.16,3.82,3.16,3.75,3.51,0.2400000000000002,6.8376,166389.72,57999.744
600609.SH,20200203,3.51,3.51,3.51,3.51,3.9,-0.3900000000000001,-10.0,13325.0,4677.075
600609.SH,20200123,3.95,3.95,3.84,3.9,3.97,-0.07000000000000028,-1.7632,45765.98,17773.819
600609.SH,20200122,4.01,4.01,3.93,3.97,4.02,-0.04999999999999938,-1.2438,49352.22,19529.091
