ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000587.SZ,20200225,1.75,2.02,1.75,1.89,1.85,0.039999999999999813,2.1622,1188125.02,223354.297
000587.SZ,20200224,1.84,1.89,1.78,1.85,1.78,0.07000000000000006,3.9326,859476.6,157649.988
000587.SZ,20200221,1.72,1.84,1.72,1.78,1.72,0.06000000000000005,3.4884,836042.47,148273.259
000587.SZ,20200220,1.71,1.79,1.68,1.72,1.77,-0.050000000000000044,-2.8249,717767.27,124328.227
000587.SZ,20200219,1.73,1.84,1.64,1.77,1.68,0.09000000000000008,5.3571,1165090.17,200560.453
000587.SZ,20200218,1.54,1.68,1.53,1.68,1.53,0.1499999999999999,9.8039,818405.07,132742.533
000587.SZ,20200217,1.5,1.54,1.5,1.53,1.51,0.020000000000000018,1.3245,326814.84,49850.008
000587.SZ,20200214,1.55,1.56,1.5,1.51,1.55,-0.040000000000000036,-2.5806,355944.15,54087.981
000587.SZ,20200213,1.53,1.57,1.52,1.55,1.53,0.020000000000000018,1.3072,426152.3,65889.292
000587.SZ,20200212,1.51,1.54,1.5,1.53,1.52,0.010000000000000009,0.6579,234552.0,35701.182
000587.SZ,20200211,1.54,1.55,1.51,1.52,1.56,-0.040000000000000036,-2.5641,317688.94,48471.025
000587.SZ,20200210,1.48,1.58,1.48,1.56,1.51,0.050000000000000044,3.3113,437758.26,66774.878
000587.SZ,20200207,1.48,1.58,1.46,1.51,1.49,0.020000000000000018,1.3423,415943.82,63226.141
000587.SZ,20200206,1.49,1.5,1.45,1.49,1.49,0.0,0.0,372690.82,54885.131
000587.SZ,20200205,1.4,1.53,1.39,1.49,1.4,0.09000000000000008,6.4286,435304.02,63855.105
000587.SZ,20200204,1.32,1.44,1.32,1.4,1.45,-0.050000000000000044,-3.4483,463241.66,64378.401
000587.SZ,20200203,1.45,1.48,1.45,1.45,1.61,-0.16000000000000014,-9.9379,198920.0,28868.128
000587.SZ,20200123,1.54,1.62,1.54,1.61,1.71,-0.09999999999999987,-5.848,738890.58,116145.808
