ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300443.SZ,20200225,14.65,14.92,14.0,14.7,14.91,-0.21000000000000085,-1.4085,64634.53,94052.537
300443.SZ,20200224,14.53,14.98,14.42,14.91,14.5,0.41000000000000014,2.8276,53842.23,79639.734
300443.SZ,20200221,14.66,14.67,14.38,14.5,14.49,0.009999999999999787,0.069,57883.62,84141.341
300443.SZ,20200220,14.1,14.51,13.96,14.49,14.06,0.4299999999999997,3.0583,44456.02,63283.164
300443.SZ,20200219,13.67,14.37,13.67,14.06,13.77,0.2900000000000009,2.106,53006.03,74892.93
300443.SZ,20200218,13.56,13.81,13.48,13.77,13.56,0.20999999999999908,1.5487,39498.81,54000.978
300443.SZ,20200217,13.25,13.58,13.18,13.56,13.14,0.41999999999999993,3.1963,41276.81,55388.299
300443.SZ,20200214,12.77,13.27,12.76,13.14,12.79,0.3500000000000014,2.7365,44496.7,58422.403
300443.SZ,20200213,13.09,13.12,12.75,12.79,13.13,-0.34000000000000163,-2.5895,32012.98,41353.522
300443.SZ,20200212,12.87,13.16,12.84,13.13,12.95,0.1800000000000015,1.39,31548.72,41210.433
300443.SZ,20200211,13.0,13.24,12.87,12.95,12.95,0.0,0.0,28754.77,37441.113
300443.SZ,20200210,12.93,13.0,12.69,12.95,12.92,0.02999999999999936,0.2322,28222.8,36323.021
300443.SZ,20200207,12.83,12.95,12.53,12.92,12.78,0.14000000000000057,1.0955,34337.82,43580.226
300443.SZ,20200206,12.53,12.83,12.39,12.78,12.48,0.29999999999999893,2.4038,38562.25,48653.327
300443.SZ,20200205,12.31,12.72,12.31,12.48,12.29,0.19000000000000128,1.546,37126.11,46658.181
300443.SZ,20200204,11.93,12.6,11.93,12.29,12.66,-0.370000000000001,-2.9226,47270.45,58426.208
300443.SZ,20200203,12.66,12.66,12.66,12.66,14.07,-1.4100000000000001,-10.0213,11766.0,14895.756
300443.SZ,20200123,14.54,14.86,13.93,14.07,14.59,-0.5199999999999996,-3.5641,44958.18,64676.985
300443.SZ,20200122,14.51,14.78,14.19,14.59,14.68,-0.08999999999999986,-0.6131,37554.22,54445.218
300443.SZ,20200121,14.78,15.03,14.5,14.68,14.82,-0.14000000000000057,-0.9447,33360.0,48855.888
300443.SZ,20200120,14.86,14.86,14.54,14.82,14.75,0.07000000000000028,0.4746,21994.0,32412.634
300443.SZ,20200117,14.75,15.03,14.69,14.75,14.66,0.08999999999999986,0.6139,30791.0,45734.065
300443.SZ,20200116,14.84,14.88,14.6,14.66,14.76,-0.09999999999999964,-0.6775,25537.0,37562.533
