ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000913.SZ,20200225,10.92,11.37,10.81,11.27,11.2,0.07000000000000028,0.625,96140.64,107411.744
000913.SZ,20200224,11.34,11.34,11.05,11.2,11.41,-0.21000000000000085,-1.8405,89568.82,99984.07
000913.SZ,20200221,11.32,11.57,11.27,11.41,11.68,-0.2699999999999996,-2.3116,133176.45,151804.976
000913.SZ,20200220,12.22,12.22,11.61,11.68,11.66,0.019999999999999574,0.1715,227880.54,272009.877
000913.SZ,20200219,10.98,11.66,10.78,11.66,10.6,1.0600000000000005,10.0,88607.36,100972.665
000913.SZ,20200218,10.28,10.6,10.25,10.6,10.26,0.33999999999999986,3.3138,78519.71,82030.53
000913.SZ,20200217,10.04,10.28,10.02,10.26,10.06,0.1999999999999993,1.9881,43698.65,44614.879
000913.SZ,20200214,10.04,10.19,9.98,10.06,10.06,0.0,0.0,35443.22,35721.457
000913.SZ,20200213,10.45,10.47,10.03,10.06,10.42,-0.35999999999999943,-3.4549,55760.0,56774.958
000913.SZ,20200212,10.17,10.48,10.08,10.42,10.17,0.25,2.4582,65133.0,67139.827
000913.SZ,20200211,10.54,10.77,10.16,10.17,10.12,0.05000000000000071,0.4941,60849.1,63110.227
000913.SZ,20200210,10.0,10.17,9.88,10.12,10.03,0.08999999999999986,0.8973,36368.0,36611.459
000913.SZ,20200207,10.22,10.24,9.91,10.03,10.19,-0.16000000000000014,-1.5702,38701.1,38902.949
000913.SZ,20200206,10.05,10.3,9.92,10.19,10.18,0.009999999999999787,0.0982,40767.57,41349.998
000913.SZ,20200205,9.4,10.34,9.4,10.18,9.4,0.7799999999999994,8.2979,71508.08,71782.615
000913.SZ,20200204,8.87,9.7,8.87,9.4,9.86,-0.4599999999999991,-4.6653,67593.0,63409.29
000913.SZ,20200203,9.86,9.86,9.86,9.86,10.96,-1.1000000000000014,-10.0365,3456.0,3407.616
000913.SZ,20200123,11.44,11.73,10.51,10.96,11.42,-0.4599999999999991,-4.028,49614.76,55731.857
000913.SZ,20200122,11.59,11.64,11.28,11.42,11.65,-0.23000000000000043,-1.9742,34852.01,40004.807
000913.SZ,20200121,12.07,12.26,11.56,11.65,12.07,-0.41999999999999993,-3.4797,64063.68,75616.546
000913.SZ,20200120,11.57,12.28,11.57,12.07,11.69,0.3800000000000008,3.2506,51481.68,62142.728
000913.SZ,20200117,11.91,11.91,11.6,11.69,11.84,-0.15000000000000036,-1.2669,33216.26,38975.319
000913.SZ,20200116,12.1,12.16,11.72,11.84,12.02,-0.17999999999999972,-1.4975,35346.25,41840.012
000913.SZ,20200115,12.16,12.4,11.72,12.02,12.18,-0.16000000000000014,-1.3136,52770.07,63235.36
000913.SZ,20200114,11.86,12.39,11.86,12.18,11.86,0.3200000000000003,2.6981,61259.67,74708.449
000913.SZ,20200113,11.9,12.04,11.74,11.86,11.78,0.08000000000000007,0.6791,36802.02,43675.711
000913.SZ,20200110,11.99,12.16,11.73,11.78,12.0,-0.22000000000000064,-1.8333,37370.0,44394.74
000913.SZ,20200109,11.49,12.25,11.49,12.0,11.37,0.6300000000000008,5.5409,78558.46,93785.943
000913.SZ,20200108,11.55,11.74,11.3,11.37,11.64,-0.27000000000000135,-2.3196,45806.0,52731.213
000913.SZ,20200107,11.45,11.78,11.37,11.64,11.37,0.27000000000000135,2.3747,53816.01,62559.252
000913.SZ,20200106,11.27,11.55,11.16,11.37,11.26,0.10999999999999943,0.9769,49387.01,56272.533
000913.SZ,20200103,11.22,11.37,11.18,11.26,11.18,0.08000000000000007,0.7156,41669.01,47026.291
000913.SZ,20200102,11.12,11.23,11.03,11.18,11.01,0.16999999999999993,1.5441,30896.01,34525.196
000913.SZ,20191231,10.97,11.1,10.83,11.01,10.9,0.10999999999999943,1.0092,24590.0,27099.324
000913.SZ,20191230,10.78,10.95,10.12,10.9,10.71,0.1899999999999995,1.774,34012.09,36815.873
000913.SZ,20191227,11.0,11.09,10.7,10.71,11.01,-0.29999999999999893,-2.7248,38832.08,42145.734
000913.SZ,20191226,10.96,11.06,10.86,11.01,10.98,0.02999999999999936,0.2732,26330.92,28871.012
000913.SZ,20191225,11.19,11.28,10.91,10.98,11.14,-0.16000000000000014,-1.4363,43762.01,48449.988
000913.SZ,20191224,11.11,11.14,10.7,11.14,11.04,0.10000000000000142,0.9058,42819.94,46875.474
000913.SZ,20191223,11.05,11.35,11.02,11.04,11.07,-0.030000000000001137,-0.271,39431.93,44149.451
000913.SZ,20191220,11.18,11.22,11.05,11.07,11.15,-0.08000000000000007,-0.7175,25406.0,28285.052
000913.SZ,20191219,11.33,11.33,11.06,11.15,11.2,-0.049999999999998934,-0.4464,36397.18,40562.442
000913.SZ,20191218,11.4,11.4,11.14,11.2,11.39,-0.19000000000000128,-1.6681,49053.0,55208.9
000913.SZ,20191217,11.3,11.39,11.19,11.39,11.31,0.08000000000000007,0.7073,53830.02,60778.99
000913.SZ,20191216,11.3,11.4,11.19,11.31,11.24,0.07000000000000028,0.6228,47260.02,53259.441
000913.SZ,20191213,11.31,11.44,11.09,11.24,11.29,-0.049999999999998934,-0.4429,36625.94,41151.205
000913.SZ,20191212,11.34,11.38,11.21,11.29,11.39,-0.10000000000000142,-0.878,38830.13,43751.128
000913.SZ,20191211,11.2,11.55,11.09,11.39,11.16,0.23000000000000043,2.0609,76519.59,86959.863
000913.SZ,20191210,11.24,11.24,11.07,11.16,11.29,-0.129999999999999,-1.1515,50694.0,56473.76
000913.SZ,20191209,10.88,11.34,10.73,11.29,10.85,0.4399999999999995,4.0553,73275.47,81196.154
000913.SZ,20191206,10.84,10.88,10.63,10.85,10.91,-0.0600000000000005,-0.55,35122.75,37829.504
000913.SZ,20191205,10.87,10.94,10.77,10.91,10.83,0.08000000000000007,0.7387,38263.01,41557.381
000913.SZ,20191204,10.66,10.98,10.57,10.83,10.67,0.16000000000000014,1.4995,45179.02,48897.005
000913.SZ,20191203,10.74,10.83,10.48,10.67,10.85,-0.17999999999999972,-1.659,31468.01,33391.904
000913.SZ,20191202,10.93,11.06,10.76,10.85,10.85,0.0,0.0,32107.32,34853.751
000913.SZ,20191129,10.69,10.96,10.69,10.85,10.83,0.019999999999999574,0.1847,32433.63,35121.138
000913.SZ,20191128,10.6,10.94,10.53,10.83,10.51,0.3200000000000003,3.0447,51269.97,55222.451
000913.SZ,20191127,10.65,10.67,10.45,10.51,10.74,-0.23000000000000043,-2.1415,26330.0,27817.534
000913.SZ,20191126,10.59,10.75,10.55,10.74,10.56,0.17999999999999972,1.7045,25660.7,27275.317
