ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600069.SH,20200225,2.06,2.06,1.96,2.04,2.08,-0.040000000000000036,-1.9231,253825.15,51158.613
600069.SH,20200224,2.09,2.12,2.06,2.08,2.11,-0.029999999999999805,-1.4218,253329.56,52849.722
600069.SH,20200221,2.04,2.15,2.03,2.11,2.04,0.06999999999999984,3.4314,316890.44,66191.205
600069.SH,20200220,2.03,2.05,2.01,2.04,2.03,0.010000000000000231,0.4926,202462.68,41188.142
600069.SH,20200219,2.01,2.09,2.0,2.03,2.02,0.009999999999999787,0.495,244960.38,49996.069
600069.SH,20200218,2.0,2.03,1.98,2.02,1.99,0.030000000000000027,1.5075,163616.39,32732.924
600069.SH,20200217,1.9,2.05,1.9,1.99,1.92,0.07000000000000006,3.6458,171646.08,34056.023
600069.SH,20200214,1.94,1.97,1.9,1.92,1.95,-0.030000000000000027,-1.5385,153830.91,29598.895
600069.SH,20200213,2.01,2.02,1.95,1.95,2.01,-0.05999999999999983,-2.9851,173092.56,34216.361
600069.SH,20200212,2.01,2.03,1.98,2.01,2.03,-0.020000000000000018,-0.9852,161782.01,32425.651
600069.SH,20200211,1.97,2.1,1.94,2.03,1.97,0.05999999999999983,3.0457,282773.56,57256.322
600069.SH,20200210,1.91,1.99,1.9,1.97,1.94,0.030000000000000027,1.5464,237694.43,45950.656
600069.SH,20200207,1.8,2.0,1.78,1.94,1.82,0.11999999999999988,6.5934,358992.57,68354.531
600069.SH,20200206,1.82,1.86,1.75,1.82,1.81,0.010000000000000009,0.5525,241170.6,43802.756
600069.SH,20200205,1.68,1.86,1.67,1.81,1.71,0.10000000000000009,5.848,275949.8,49341.42
600069.SH,20200204,1.64,1.82,1.64,1.71,1.82,-0.1100000000000001,-6.044,444748.57,75672.857
600069.SH,20200203,1.82,1.82,1.82,1.82,2.02,-0.19999999999999996,-9.901,16012.0,2914.184
600069.SH,20200123,2.02,2.02,2.02,2.02,2.24,-0.2200000000000002,-9.8214,146338.0,29560.276
600069.SH,20200122,2.24,2.24,2.24,2.24,2.49,-0.25,-10.0402,76578.0,17153.472
600069.SH,20200121,2.55,2.55,2.47,2.49,2.56,-0.06999999999999984,-2.7344,120859.5,30198.058
600069.SH,20200120,2.56,2.59,2.55,2.56,2.57,-0.009999999999999787,-0.3891,95445.51,24486.697
600069.SH,20200117,2.59,2.62,2.57,2.57,2.59,-0.020000000000000018,-0.7722,78631.1,20341.073
600069.SH,20200116,2.64,2.64,2.59,2.59,2.65,-0.06000000000000005,-2.2642,130915.6,34153.215
600069.SH,20200115,2.64,2.67,2.61,2.65,2.65,0.0,0.0,152643.98,40259.05
600069.SH,20200114,2.68,2.69,2.64,2.65,2.68,-0.03000000000000025,-1.1194,151922.79,40348.397
600069.SH,20200113,2.69,2.7,2.66,2.68,2.68,0.0,0.0,112316.0,30021.908
600069.SH,20200110,2.7,2.71,2.67,2.68,2.68,0.0,0.0,167467.12,44951.156
600069.SH,20200109,2.66,2.69,2.65,2.68,2.65,0.03000000000000025,1.1321,191864.03,51304.319
600069.SH,20200108,2.72,2.72,2.62,2.65,2.73,-0.08000000000000007,-2.9304,260731.8,69711.028
600069.SH,20200107,2.69,2.74,2.68,2.73,2.71,0.020000000000000018,0.738,207664.03,56378.948
600069.SH,20200106,2.69,2.74,2.66,2.71,2.7,0.009999999999999787,0.3704,208835.85,56462.776
600069.SH,20200103,2.71,2.73,2.68,2.7,2.7,0.0,0.0,151384.71,40912.983
600069.SH,20200102,2.69,2.72,2.68,2.7,2.67,0.03000000000000025,1.1236,186210.48,50414.152
600069.SH,20191231,2.69,2.71,2.65,2.67,2.71,-0.040000000000000036,-1.476,150734.9,40364.336
600069.SH,20191230,2.64,2.75,2.59,2.71,2.66,0.04999999999999982,1.8797,263935.19,71061.212
600069.SH,20191227,2.67,2.71,2.65,2.66,2.66,0.0,0.0,151221.1,40437.537
600069.SH,20191226,2.67,2.68,2.64,2.66,2.67,-0.009999999999999787,-0.3745,95992.3,25492.444
600069.SH,20191225,2.69,2.73,2.65,2.67,2.69,-0.020000000000000018,-0.7435,123267.64,33104.526
600069.SH,20191224,2.62,2.74,2.62,2.69,2.62,0.06999999999999984,2.6718,129517.84,34637.798
600069.SH,20191223,2.67,2.69,2.61,2.62,2.69,-0.06999999999999984,-2.6022,149415.32,39580.686
600069.SH,20191220,2.74,2.77,2.68,2.69,2.75,-0.06000000000000005,-2.1818,163064.72,44438.386
600069.SH,20191219,2.74,2.76,2.71,2.75,2.74,0.009999999999999787,0.365,140807.81,38558.377
600069.SH,20191218,2.71,2.76,2.68,2.74,2.72,0.020000000000000018,0.7353,193185.44,52713.884
600069.SH,20191217,2.67,2.83,2.63,2.72,2.67,0.050000000000000266,1.8727,287632.39,78111.269
600069.SH,20191216,2.67,2.67,2.63,2.67,2.66,0.009999999999999787,0.3759,141609.66,37551.742
600069.SH,20191213,2.57,2.72,2.57,2.66,2.58,0.08000000000000007,3.1008,204160.49,53983.79
600069.SH,20191212,2.66,2.67,2.58,2.58,2.67,-0.08999999999999986,-3.3708,163387.83,42680.998
600069.SH,20191211,2.67,2.68,2.65,2.67,2.68,-0.010000000000000231,-0.3731,85679.57,22825.656
600069.SH,20191210,2.65,2.69,2.65,2.68,2.67,0.010000000000000231,0.3745,117049.34,31291.746
600069.SH,20191209,2.69,2.69,2.65,2.67,2.68,-0.010000000000000231,-0.3731,95975.3,25669.816
600069.SH,20191206,2.68,2.7,2.63,2.68,2.69,-0.009999999999999787,-0.3717,134012.98,35695.784
600069.SH,20191205,2.66,2.77,2.65,2.69,2.65,0.040000000000000036,1.5094,189597.42,51349.535
600069.SH,20191204,2.65,2.67,2.62,2.65,2.65,0.0,0.0,85732.22,22690.985
600069.SH,20191203,2.63,2.67,2.62,2.65,2.6,0.04999999999999982,1.9231,133820.79,35402.891
600069.SH,20191202,2.57,2.65,2.57,2.6,2.65,-0.04999999999999982,-1.8868,166996.51,43695.282
600069.SH,20191129,2.75,2.75,2.56,2.65,2.77,-0.1200000000000001,-4.3321,305371.41,81290.453
600069.SH,20191128,2.82,2.86,2.76,2.77,2.84,-0.06999999999999984,-2.4648,166496.32,46670.022
600069.SH,20191127,2.85,2.87,2.81,2.84,2.85,-0.010000000000000231,-0.3509,114947.35,32601.922
600069.SH,20191126,2.86,2.87,2.83,2.85,2.88,-0.029999999999999805,-1.0417,114163.0,32577.018
600069.SH,20191125,2.84,2.88,2.75,2.88,2.82,0.06000000000000005,2.1277,213379.27,60390.827
600069.SH,20191122,2.89,2.93,2.81,2.82,2.9,-0.08000000000000007,-2.7586,241164.67,68961.259
600069.SH,20191121,2.94,3.03,2.88,2.9,2.98,-0.08000000000000007,-2.6846,256863.57,75593.091
600069.SH,20191120,2.89,3.04,2.85,2.98,2.89,0.08999999999999986,3.1142,368335.6,108491.123
600069.SH,20191119,2.87,2.94,2.84,2.89,2.87,0.020000000000000018,0.6969,218753.0,62998.664
600069.SH,20191118,2.81,2.89,2.78,2.87,2.85,0.020000000000000018,0.7018,243373.89,69140.825
600069.SH,20191115,2.93,2.97,2.85,2.85,2.97,-0.1200000000000001,-4.0404,263695.6,76857.883
600069.SH,20191114,3.01,3.03,2.89,2.97,3.05,-0.07999999999999963,-2.623,376027.72,110972.228
600069.SH,20191113,3.0,3.15,2.96,3.05,3.05,0.0,0.0,543938.58,164892.847
600069.SH,20191112,2.84,3.16,2.8,3.05,2.87,0.17999999999999972,6.2718,802770.41,243587.551
600069.SH,20191111,2.8,2.94,2.73,2.87,2.82,0.050000000000000266,1.773,368757.24,105180.66
600069.SH,20191108,2.85,2.85,2.77,2.82,2.81,0.009999999999999787,0.3559,195885.3,54990.482
600069.SH,20191107,2.74,2.89,2.72,2.81,2.73,0.08000000000000007,2.9304,269322.5,75685.574
600069.SH,20191106,2.8,2.82,2.71,2.73,2.83,-0.10000000000000009,-3.5336,263464.55,72730.834
600069.SH,20191105,2.8,2.84,2.73,2.83,2.83,0.0,0.0,387579.09,107666.914
600069.SH,20191104,2.68,2.95,2.65,2.83,2.68,0.1499999999999999,5.597,619594.1,177843.41
600069.SH,20191101,2.68,2.7,2.61,2.68,2.66,0.020000000000000018,0.7519,156034.3,41429.308
600069.SH,20191031,2.75,2.75,2.65,2.66,2.72,-0.06000000000000005,-2.2059,156063.6,42026.563
600069.SH,20191030,2.75,2.79,2.68,2.72,2.82,-0.09999999999999964,-3.5461,246795.63,67146.039
600069.SH,20191029,2.87,2.88,2.76,2.82,2.88,-0.06000000000000005,-2.0833,330970.35,92715.039
600069.SH,20191028,2.87,2.96,2.81,2.88,2.81,0.06999999999999984,2.4911,718607.6,206942.627
600069.SH,20191025,2.55,2.81,2.52,2.81,2.55,0.26000000000000023,10.1961,211215.5,57689.643
600069.SH,20191024,2.55,2.58,2.54,2.55,2.58,-0.03000000000000025,-1.1628,86727.2,22150.893
600069.SH,20191023,2.63,2.63,2.57,2.58,2.62,-0.040000000000000036,-1.5267,122827.8,31822.423
600069.SH,20191022,2.63,2.63,2.58,2.62,2.59,0.03000000000000025,1.1583,108216.31,28202.066
600069.SH,20191021,2.66,2.67,2.57,2.59,2.68,-0.0900000000000003,-3.3582,150099.61,39160.133
600069.SH,20191018,2.64,2.7,2.56,2.68,2.67,0.010000000000000231,0.3745,213155.79,56143.67
600069.SH,20191017,2.74,2.76,2.67,2.67,2.7,-0.03000000000000025,-1.1111,157581.7,42686.503
600069.SH,20191016,2.82,2.82,2.68,2.7,2.78,-0.07999999999999963,-2.8777,201239.9,55022.751
600069.SH,20191015,2.72,2.82,2.69,2.78,2.77,0.009999999999999787,0.361,290430.29,80196.273
600069.SH,20191014,2.79,2.88,2.74,2.77,2.79,-0.020000000000000018,-0.7168,346560.2,96629.756
600069.SH,20191011,2.72,2.93,2.69,2.79,2.74,0.04999999999999982,1.8248,451540.31,127364.012
600069.SH,20191010,2.76,2.85,2.6,2.74,2.76,-0.019999999999999574,-0.7246,400851.8,109603.044
600069.SH,20191009,2.8,2.89,2.73,2.76,2.7,0.05999999999999961,2.2222,645152.28,180967.948
600069.SH,20191008,2.45,2.7,2.42,2.7,2.45,0.25,10.2041,279917.13,72937.319
600069.SH,20190930,2.48,2.5,2.45,2.45,2.48,-0.029999999999999805,-1.2097,79083.65,19539.212
600069.SH,20190927,2.4,2.52,2.36,2.48,2.41,0.06999999999999984,2.9046,130243.49,32120.212
600069.SH,20190926,2.51,2.54,2.4,2.41,2.53,-0.11999999999999966,-4.7431,152015.12,37176.793
600069.SH,20190925,2.6,2.6,2.51,2.53,2.59,-0.06000000000000005,-2.3166,125395.65,31829.421
600069.SH,20190924,2.59,2.64,2.58,2.59,2.58,0.009999999999999787,0.3876,104271.87,27247.693
600069.SH,20190923,2.6,2.64,2.55,2.58,2.64,-0.06000000000000005,-2.2727,114772.32,29489.933
600069.SH,20190920,2.66,2.67,2.62,2.64,2.67,-0.029999999999999805,-1.1236,112174.55,29614.131
600069.SH,20190919,2.63,2.68,2.59,2.67,2.65,0.020000000000000018,0.7547,149839.33,39530.312
600069.SH,20190918,2.64,2.67,2.62,2.65,2.63,0.020000000000000018,0.7605,133178.0,35238.502
600069.SH,20190917,2.71,2.72,2.61,2.63,2.73,-0.10000000000000009,-3.663,223723.4,59112.326
600069.SH,20190916,2.77,2.77,2.72,2.73,2.76,-0.029999999999999805,-1.087,200376.84,54787.434
600069.SH,20190912,2.8,2.82,2.7,2.76,2.83,-0.07000000000000028,-2.4735,305390.28,84014.952
600069.SH,20190911,2.79,2.92,2.78,2.83,2.76,0.07000000000000028,2.5362,504467.53,143715.135
600069.SH,20190910,2.75,2.77,2.71,2.76,2.76,0.0,0.0,294336.07,80445.034
