ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000625.SZ,20200225,11.18,11.8,10.93,11.6,11.4,0.1999999999999993,1.7544,699896.63,796008.634
000625.SZ,20200224,11.15,11.6,11.1,11.4,11.32,0.08000000000000007,0.7067,473531.35,539157.312
000625.SZ,20200221,11.13,11.47,11.01,11.32,10.86,0.46000000000000085,4.2357,502581.34,566580.87
000625.SZ,20200220,10.65,11.09,10.61,10.86,10.65,0.20999999999999908,1.9718,318235.95,346542.891
000625.SZ,20200219,10.7,11.07,10.62,10.65,10.74,-0.08999999999999986,-0.838,449129.14,487571.297
000625.SZ,20200218,10.58,10.85,10.34,10.74,10.55,0.1899999999999995,1.8009,570280.89,606166.517
000625.SZ,20200217,9.95,10.55,9.95,10.55,9.59,0.9600000000000009,10.0104,649298.84,676364.449
000625.SZ,20200214,9.76,9.76,9.44,9.59,9.79,-0.1999999999999993,-2.0429,311510.04,298055.476
000625.SZ,20200213,9.59,9.95,9.59,9.79,9.6,0.1899999999999995,1.9792,395464.18,386755.002
000625.SZ,20200212,9.52,9.65,9.4,9.6,9.62,-0.019999999999999574,-0.2079,245473.47,234193.076
000625.SZ,20200211,9.41,9.84,9.26,9.62,9.4,0.21999999999999886,2.3404,370800.36,354877.479
000625.SZ,20200210,8.99,9.46,8.95,9.4,9.02,0.3800000000000008,4.2129,413467.11,383916.873
000625.SZ,20200207,8.92,9.11,8.92,9.02,9.01,0.009999999999999787,0.111,275139.85,248034.19
000625.SZ,20200206,8.9,9.15,8.82,9.01,8.98,0.02999999999999936,0.3341,374932.24,338570.08
000625.SZ,20200205,9.18,9.43,8.9,8.98,9.18,-0.1999999999999993,-2.1786,455179.73,415777.596
000625.SZ,20200204,8.29,9.22,8.29,9.18,8.89,0.28999999999999915,3.2621,713391.71,638148.301
000625.SZ,20200203,8.89,8.89,8.89,8.89,9.88,-0.9900000000000002,-10.0202,99142.0,88137.238
000625.SZ,20200123,10.34,10.45,9.76,9.88,10.47,-0.5899999999999999,-5.6351,448647.57,451070.282
000625.SZ,20200122,10.35,10.6,10.21,10.47,10.39,0.08000000000000007,0.77,396687.39,414716.012
000625.SZ,20200121,10.9,10.92,10.29,10.39,10.91,-0.5199999999999996,-4.7663,558397.29,587506.081
000625.SZ,20200120,11.08,11.15,10.7,10.91,10.9,0.009999999999999787,0.0917,364374.97,397420.604
000625.SZ,20200117,11.13,11.23,10.74,10.9,11.21,-0.3100000000000005,-2.7654,557462.08,609523.903
000625.SZ,20200116,11.2,11.29,11.0,11.21,11.23,-0.019999999999999574,-0.1781,274749.68,306568.7
000625.SZ,20200115,11.2,11.37,10.95,11.23,11.17,0.0600000000000005,0.5372,452068.7,506762.86
000625.SZ,20200114,12.0,12.04,10.88,11.17,11.9,-0.7300000000000004,-6.1345,823564.52,937781.737
000625.SZ,20200113,11.41,11.9,11.38,11.9,11.3,0.5999999999999996,5.3097,442943.36,517556.054
000625.SZ,20200110,10.95,11.42,10.91,11.3,10.98,0.3200000000000003,2.9144,449765.92,506486.746
000625.SZ,20200109,10.99,11.25,10.91,10.98,10.97,0.009999999999999787,0.0912,350430.75,386915.559
000625.SZ,20200108,10.66,11.19,10.55,10.97,10.7,0.27000000000000135,2.5234,517455.16,564449.697
000625.SZ,20200107,10.47,10.88,10.47,10.7,10.43,0.2699999999999996,2.5887,385306.68,412707.297
000625.SZ,20200106,10.44,10.72,10.35,10.43,10.49,-0.0600000000000005,-0.572,384648.27,404837.331
000625.SZ,20200103,10.65,10.72,10.47,10.49,10.8,-0.3100000000000005,-2.8704,413517.05,437851.322
000625.SZ,20200102,10.38,10.87,10.21,10.8,10.03,0.7700000000000014,7.677,663509.31,695266.628
000625.SZ,20191231,9.77,10.06,9.75,10.03,9.82,0.20999999999999908,2.1385,323119.0,320699.88
000625.SZ,20191230,9.56,9.92,9.43,9.82,9.54,0.28000000000000114,2.935,372625.94,362964.247
000625.SZ,20191227,9.66,9.73,9.5,9.54,9.67,-0.13000000000000078,-1.3444,239238.44,229440.372
000625.SZ,20191226,9.71,9.74,9.5,9.67,9.75,-0.08000000000000007,-0.8205,229769.44,220260.622
000625.SZ,20191225,9.71,9.93,9.55,9.75,9.67,0.08000000000000007,0.8273,282517.59,275229.409
000625.SZ,20191224,9.53,9.71,9.42,9.67,9.52,0.15000000000000036,1.5756,244867.11,234504.78
000625.SZ,20191223,9.69,9.75,9.41,9.52,9.74,-0.22000000000000064,-2.2587,343191.23,328154.84
000625.SZ,20191220,9.56,9.97,9.53,9.74,9.48,0.2599999999999998,2.7426,584266.75,569246.685
000625.SZ,20191219,9.4,9.65,9.31,9.48,9.42,0.0600000000000005,0.6369,380273.05,360472.305
000625.SZ,20191218,9.05,9.66,8.98,9.42,9.04,0.3800000000000008,4.2035,819368.8,764180.473
000625.SZ,20191217,9.11,9.18,8.9,9.04,9.13,-0.09000000000000163,-0.9858,595031.99,537094.17
000625.SZ,20191216,9.23,9.28,9.01,9.13,9.19,-0.05999999999999872,-0.6529,418933.67,381152.937
000625.SZ,20191213,9.28,9.29,9.0,9.19,9.22,-0.030000000000001137,-0.3254,531907.17,486711.288
000625.SZ,20191212,9.15,9.28,9.0,9.22,9.09,0.13000000000000078,1.4301,800476.29,732844.676
