ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000520.SZ,20200225,4.0,4.19,3.86,4.19,4.07,0.1200000000000001,2.9484,229386.64,92318.526
000520.SZ,20200224,4.0,4.21,3.9,4.07,3.96,0.11000000000000032,2.7778,324421.46,131523.824
000520.SZ,20200221,3.59,3.96,3.58,3.96,3.6,0.3599999999999999,10.0,281037.41,109331.416
000520.SZ,20200220,3.53,3.6,3.5,3.6,3.53,0.07000000000000028,1.983,77248.72,27410.664
000520.SZ,20200219,3.59,3.59,3.53,3.53,3.58,-0.050000000000000266,-1.3966,58373.05,20787.139
000520.SZ,20200218,3.54,3.61,3.52,3.58,3.53,0.050000000000000266,1.4164,63666.78,22707.644
000520.SZ,20200217,3.47,3.54,3.44,3.53,3.46,0.06999999999999984,2.0231,59391.16,20803.468
000520.SZ,20200214,3.45,3.5,3.44,3.46,3.48,-0.020000000000000018,-0.5747,49247.0,17054.451
000520.SZ,20200213,3.42,3.49,3.37,3.48,3.43,0.04999999999999982,1.4577,69715.87,23911.308
000520.SZ,20200212,3.41,3.46,3.37,3.43,3.41,0.020000000000000018,0.5865,59928.81,20473.422
000520.SZ,20200211,3.39,3.49,3.39,3.41,3.39,0.020000000000000018,0.59,76108.0,26206.819
000520.SZ,20200210,3.29,3.4,3.25,3.39,3.29,0.10000000000000009,3.0395,73272.0,24448.218
000520.SZ,20200207,3.27,3.34,3.24,3.29,3.28,0.010000000000000231,0.3049,73707.71,24220.154
000520.SZ,20200206,3.29,3.3,3.23,3.28,3.26,0.020000000000000018,0.6135,87974.1,28725.432
000520.SZ,20200205,3.23,3.3,3.21,3.26,3.19,0.06999999999999984,2.1944,119614.32,38938.457
000520.SZ,20200204,3.19,3.36,3.19,3.19,3.54,-0.3500000000000001,-9.887,247704.06,79892.356
000520.SZ,20200203,3.54,3.54,3.54,3.54,3.93,-0.3900000000000001,-9.9237,21532.0,7622.328
000520.SZ,20200123,3.95,3.98,3.85,3.93,3.99,-0.06000000000000005,-1.5038,76196.79,29788.565
000520.SZ,20200122,4.04,4.04,3.89,3.99,4.04,-0.04999999999999982,-1.2376,105192.11,41605.881
000520.SZ,20200121,4.16,4.19,4.02,4.04,4.15,-0.11000000000000032,-2.6506,82335.68,33676.987
000520.SZ,20200120,4.21,4.22,4.1,4.15,4.21,-0.05999999999999961,-1.4252,73076.77,30369.362
000520.SZ,20200117,4.22,4.27,4.16,4.21,4.21,0.0,0.0,51053.63,21454.861
000520.SZ,20200116,4.29,4.29,4.2,4.21,4.24,-0.03000000000000025,-0.7075,51568.12,21856.363
000520.SZ,20200115,4.31,4.31,4.24,4.24,4.31,-0.0699999999999994,-1.6241,42536.67,18163.463
000520.SZ,20200114,4.31,4.33,4.28,4.31,4.31,0.0,0.0,52658.0,22666.674
000520.SZ,20200113,4.28,4.32,4.25,4.31,4.28,0.02999999999999936,0.7009,64627.02,27736.26
000520.SZ,20200110,4.33,4.35,4.28,4.28,4.32,-0.040000000000000036,-0.9259,68936.1,29672.703
000520.SZ,20200109,4.3,4.33,4.29,4.32,4.29,0.03000000000000025,0.6993,72625.85,31344.765
000520.SZ,20200108,4.23,4.38,4.22,4.29,4.23,0.05999999999999961,1.4184,157471.3,67857.151
000520.SZ,20200107,4.17,4.25,4.17,4.23,4.16,0.07000000000000028,1.6827,105207.61,44375.307
000520.SZ,20200106,4.22,4.22,4.15,4.16,4.22,-0.05999999999999961,-1.4218,112780.63,47056.099
000520.SZ,20200103,4.25,4.26,4.21,4.22,4.25,-0.03000000000000025,-0.7059,57674.7,24389.798
000520.SZ,20200102,4.24,4.26,4.22,4.25,4.22,0.03000000000000025,0.7109,77660.21,32939.475
000520.SZ,20191231,4.18,4.24,4.16,4.22,4.18,0.040000000000000036,0.9569,77476.0,32566.904
000520.SZ,20191230,4.2,4.22,4.16,4.18,4.2,-0.020000000000000462,-0.4762,66883.25,27964.117
000520.SZ,20191227,4.21,4.26,4.18,4.2,4.2,0.0,0.0,64602.03,27245.813
000520.SZ,20191226,4.24,4.24,4.18,4.2,4.22,-0.019999999999999574,-0.4739,69387.42,29148.986
000520.SZ,20191225,4.27,4.29,4.2,4.22,4.27,-0.04999999999999982,-1.171,78284.29,33119.529
000520.SZ,20191224,4.27,4.36,4.25,4.27,4.27,0.0,0.0,85811.04,36710.657
000520.SZ,20191223,4.39,4.39,4.24,4.27,4.4,-0.13000000000000078,-2.9545,107593.6,46443.709
000520.SZ,20191220,4.53,4.53,4.4,4.4,4.57,-0.16999999999999993,-3.7199,200409.96,89528.541
000520.SZ,20191219,4.32,4.64,4.27,4.57,4.44,0.1299999999999999,2.9279,372594.21,166786.307
000520.SZ,20191218,4.4,4.72,4.4,4.44,4.29,0.15000000000000036,3.4965,393549.57,177366.481
000520.SZ,20191217,4.23,4.32,4.2,4.29,4.22,0.07000000000000028,1.6588,95439.79,40567.839
000520.SZ,20191216,4.26,4.27,4.2,4.22,4.24,-0.020000000000000462,-0.4717,54639.81,23116.094
000520.SZ,20191213,4.17,4.25,4.14,4.24,4.17,0.07000000000000028,1.6787,78695.58,32907.686
000520.SZ,20191212,4.2,4.22,4.15,4.17,4.22,-0.04999999999999982,-1.1848,59489.03,24869.4
000520.SZ,20191211,4.21,4.25,4.17,4.22,4.22,0.0,0.0,49290.35,20713.632
000520.SZ,20191210,4.22,4.25,4.19,4.22,4.23,-0.010000000000000675,-0.2364,62442.51,26331.433
000520.SZ,20191209,4.28,4.29,4.21,4.23,4.27,-0.03999999999999915,-0.9368,46864.44,19928.203
000520.SZ,20191206,4.28,4.3,4.23,4.27,4.28,-0.010000000000000675,-0.2336,57946.0,24709.285
000520.SZ,20191205,4.27,4.31,4.25,4.28,4.25,0.03000000000000025,0.7059,30944.93,13227.148
000520.SZ,20191204,4.24,4.28,4.2,4.25,4.24,0.009999999999999787,0.2358,37215.37,15772.263
000520.SZ,20191203,4.27,4.28,4.21,4.24,4.27,-0.02999999999999936,-0.7026,48471.88,20545.205
000520.SZ,20191202,4.28,4.34,4.23,4.27,4.28,-0.010000000000000675,-0.2336,80358.44,34301.918
