ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300121.SZ,20200225,9.0,9.15,8.87,9.09,9.18,-0.08999999999999986,-0.9804,59534.84,53821.475
300121.SZ,20200224,9.07,9.22,9.07,9.18,9.16,0.019999999999999574,0.2183,45399.43,41560.2
300121.SZ,20200221,9.34,9.34,9.07,9.16,9.22,-0.0600000000000005,-0.6508,47546.75,43587.277
300121.SZ,20200220,9.11,9.24,9.0,9.22,8.98,0.2400000000000002,2.6726,47913.27,43855.128
300121.SZ,20200219,9.2,9.2,8.94,8.98,9.24,-0.2599999999999998,-2.8139,40940.35,37199.839
300121.SZ,20200218,9.1,9.31,9.08,9.24,9.09,0.15000000000000036,1.6502,46132.05,42354.21
300121.SZ,20200217,8.8,9.48,8.8,9.09,8.66,0.4299999999999997,4.9654,48494.08,44285.039
300121.SZ,20200214,8.74,8.79,8.59,8.66,8.67,-0.009999999999999787,-0.1153,33883.01,29394.471
300121.SZ,20200213,8.74,8.8,8.65,8.67,8.65,0.019999999999999574,0.2312,56338.89,49055.366
300121.SZ,20200212,8.35,8.71,8.3,8.65,8.32,0.33000000000000007,3.9663,58759.93,50309.938
300121.SZ,20200211,8.42,8.46,8.28,8.32,8.4,-0.08000000000000007,-0.9524,35447.35,29538.081
300121.SZ,20200210,8.4,8.47,8.25,8.4,8.35,0.05000000000000071,0.5988,41291.5,34597.473
300121.SZ,20200207,8.13,8.42,8.13,8.35,8.13,0.21999999999999886,2.706,77427.01,64163.918
300121.SZ,20200206,7.65,8.15,7.65,8.13,7.65,0.4800000000000004,6.2745,73586.65,58501.591
300121.SZ,20200205,7.26,7.73,7.2,7.65,7.27,0.3800000000000008,5.227,60954.87,45926.019
300121.SZ,20200204,6.61,7.3,6.61,7.27,7.25,0.019999999999999574,0.2759,105301.21,74776.609
300121.SZ,20200203,7.25,7.25,7.25,7.25,8.05,-0.8000000000000007,-9.9379,11709.0,8489.025
300121.SZ,20200123,8.42,8.42,7.87,8.05,8.31,-0.2599999999999998,-3.1288,60555.1,49388.206
300121.SZ,20200122,8.45,8.45,8.15,8.31,8.33,-0.019999999999999574,-0.2401,51674.44,42795.854
300121.SZ,20200121,8.5,8.6,8.26,8.33,8.34,-0.009999999999999787,-0.1199,41878.16,35178.279
300121.SZ,20200120,8.16,8.44,8.05,8.34,8.25,0.08999999999999986,1.0909,59374.04,49062.667
300121.SZ,20200117,8.35,8.6,8.18,8.25,8.25,0.0,0.0,61142.86,51061.644
300121.SZ,20200116,8.38,8.49,8.23,8.25,8.43,-0.17999999999999972,-2.1352,58642.69,48906.811
300121.SZ,20200115,8.05,8.45,7.93,8.43,8.14,0.28999999999999915,3.5627,122104.75,100044.782
300121.SZ,20200114,7.78,8.33,7.71,8.14,7.75,0.39000000000000057,5.0323,168296.55,135627.677
300121.SZ,20200113,7.79,8.06,7.61,7.75,7.75,0.0,0.0,104983.13,82071.867
300121.SZ,20200110,7.38,7.77,7.38,7.75,7.41,0.33999999999999986,4.5884,100786.72,76563.833
300121.SZ,20200109,7.35,7.45,7.31,7.41,7.35,0.0600000000000005,0.8163,30794.1,22720.794
300121.SZ,20200108,7.36,7.53,7.34,7.35,7.4,-0.05000000000000071,-0.6757,40705.6,30294.67
300121.SZ,20200107,7.33,7.44,7.28,7.4,7.31,0.09000000000000075,1.2312,41521.58,30622.437
300121.SZ,20200106,7.29,7.46,7.26,7.31,7.35,-0.040000000000000036,-0.5442,52737.11,38910.093
300121.SZ,20200103,7.12,7.37,7.11,7.35,7.12,0.22999999999999954,3.2303,54266.2,39351.569
300121.SZ,20200102,7.14,7.2,7.1,7.12,7.06,0.0600000000000005,0.8499,25713.1,18350.801
300121.SZ,20191231,7.04,7.15,7.01,7.06,7.04,0.019999999999999574,0.2841,17729.5,12556.18
300121.SZ,20191230,7.06,7.06,6.92,7.04,7.04,0.0,0.0,16080.3,11282.591
300121.SZ,20191227,7.07,7.1,7.02,7.04,7.07,-0.03000000000000025,-0.4243,18139.94,12794.213
300121.SZ,20191226,7.07,7.12,7.0,7.07,7.07,0.0,0.0,17268.0,12185.542
300121.SZ,20191225,7.06,7.11,6.73,7.07,7.09,-0.019999999999999574,-0.2821,28805.55,20181.788
300121.SZ,20191224,7.07,7.15,7.05,7.09,7.1,-0.009999999999999787,-0.1408,12859.38,9119.641
300121.SZ,20191223,7.17,7.2,7.03,7.1,7.16,-0.0600000000000005,-0.838,34743.78,24667.192
300121.SZ,20191220,7.1,7.16,6.93,7.16,7.09,0.07000000000000028,0.9873,49319.5,34757.164
300121.SZ,20191219,7.05,7.12,7.0,7.09,7.08,0.009999999999999787,0.1412,20595.0,14586.278
300121.SZ,20191218,7.13,7.16,7.02,7.08,7.12,-0.040000000000000036,-0.5618,38412.6,27269.295
300121.SZ,20191217,7.13,7.2,7.11,7.12,7.16,-0.040000000000000036,-0.5587,31705.95,22677.126
300121.SZ,20191216,7.02,7.19,6.94,7.16,7.0,0.16000000000000014,2.2857,45356.27,32181.078
300121.SZ,20191213,6.79,7.03,6.77,7.0,6.73,0.2699999999999996,4.0119,54343.5,37589.577
300121.SZ,20191212,6.75,6.79,6.65,6.73,6.72,0.010000000000000675,0.1488,35426.72,23796.297
300121.SZ,20191211,6.89,6.89,6.7,6.72,6.79,-0.07000000000000028,-1.0309,22743.77,15359.771
300121.SZ,20191210,6.71,6.83,6.65,6.79,6.76,0.03000000000000025,0.4438,29053.8,19641.278
300121.SZ,20191209,6.61,6.83,6.6,6.76,6.61,0.14999999999999947,2.2693,31304.1,21071.459
300121.SZ,20191206,6.47,6.63,6.47,6.61,6.51,0.10000000000000053,1.5361,36946.42,24315.915
300121.SZ,20191205,6.47,6.53,6.42,6.51,6.49,0.019999999999999574,0.3082,22333.4,14474.181
300121.SZ,20191204,6.49,6.54,6.41,6.49,6.51,-0.019999999999999574,-0.3072,27949.4,18098.066
300121.SZ,20191203,6.32,6.53,6.26,6.51,6.37,0.13999999999999968,2.1978,62385.67,40132.803
300121.SZ,20191202,6.19,6.42,6.18,6.37,6.18,0.1900000000000004,3.0744,52050.61,32861.664
300121.SZ,20191129,6.21,6.26,6.15,6.18,6.17,0.009999999999999787,0.1621,11057.2,6840.494
300121.SZ,20191128,6.28,6.28,6.16,6.17,6.22,-0.04999999999999982,-0.8039,16880.0,10478.108
300121.SZ,20191127,6.24,6.36,6.2,6.22,6.24,-0.020000000000000462,-0.3205,13983.9,8760.636
300121.SZ,20191126,6.26,6.29,6.19,6.24,6.28,-0.040000000000000036,-0.6369,14262.7,8884.397
300121.SZ,20191125,6.26,6.3,6.2,6.28,6.22,0.0600000000000005,0.9646,15242.0,9552.693
300121.SZ,20191122,6.2,6.29,6.18,6.22,6.19,0.02999999999999936,0.4847,19279.4,12023.972
300121.SZ,20191121,6.2,6.2,6.13,6.19,6.19,0.0,0.0,11125.4,6867.739
