ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000717.SZ,20200225,4.22,4.25,4.08,4.19,4.32,-0.1299999999999999,-3.0093,553628.11,231971.104
000717.SZ,20200224,4.3,4.4,4.22,4.32,4.35,-0.02999999999999936,-0.6897,703370.64,301513.632
000717.SZ,20200221,4.23,4.38,4.22,4.35,4.26,0.08999999999999986,2.1127,794002.75,341751.13
000717.SZ,20200220,4.23,4.27,4.11,4.26,4.2,0.05999999999999961,1.4286,642067.8,269428.444
000717.SZ,20200219,4.17,4.28,4.14,4.2,4.17,0.03000000000000025,0.7194,430074.59,180787.196
000717.SZ,20200218,4.18,4.23,4.14,4.17,4.18,-0.009999999999999787,-0.2392,406790.66,169676.323
000717.SZ,20200217,4.09,4.19,4.07,4.18,4.11,0.0699999999999994,1.7032,494052.57,204343.153
000717.SZ,20200214,4.03,4.24,4.02,4.11,4.06,0.05000000000000071,1.2315,603237.84,248184.202
000717.SZ,20200213,4.11,4.18,4.04,4.06,4.11,-0.05000000000000071,-1.2165,401425.9,164813.595
000717.SZ,20200212,4.01,4.13,3.97,4.11,4.13,-0.019999999999999574,-0.4843,583759.03,237312.558
000717.SZ,20200211,4.0,4.43,4.0,4.13,4.03,0.09999999999999964,2.4814,872886.17,369411.231
000717.SZ,20200210,3.78,4.04,3.75,4.03,3.8,0.23000000000000043,6.0526,603397.37,238259.434
000717.SZ,20200207,3.79,3.81,3.74,3.8,3.82,-0.020000000000000018,-0.5236,290517.34,109535.843
000717.SZ,20200206,3.8,3.83,3.74,3.82,3.77,0.04999999999999982,1.3263,374003.77,141734.99
000717.SZ,20200205,3.68,3.88,3.66,3.77,3.68,0.08999999999999986,2.4457,411670.62,155731.263
000717.SZ,20200204,3.4,3.75,3.4,3.68,3.78,-0.09999999999999964,-2.6455,540393.91,195467.19
000717.SZ,20200203,3.78,3.78,3.78,3.78,4.2,-0.4200000000000004,-10.0,42189.0,15947.442
000717.SZ,20200123,4.44,4.46,4.19,4.2,4.5,-0.2999999999999998,-6.6667,410676.16,176860.609
000717.SZ,20200122,4.45,4.54,4.32,4.5,4.48,0.019999999999999574,0.4464,341975.38,151287.157
000717.SZ,20200121,4.63,4.64,4.47,4.48,4.66,-0.17999999999999972,-3.8627,338731.0,154187.411
000717.SZ,20200120,4.62,4.67,4.52,4.66,4.61,0.04999999999999982,1.0846,265000.65,121887.542
000717.SZ,20200117,4.65,4.68,4.6,4.61,4.65,-0.040000000000000036,-0.8602,271928.1,126352.074
000717.SZ,20200116,4.69,4.7,4.62,4.65,4.67,-0.019999999999999574,-0.4283,234283.42,108756.424
000717.SZ,20200115,4.72,4.73,4.64,4.67,4.75,-0.08000000000000007,-1.6842,325860.0,152282.691
000717.SZ,20200114,4.72,4.83,4.71,4.75,4.71,0.040000000000000036,0.8493,518733.79,246894.887
000717.SZ,20200113,4.7,4.73,4.6,4.71,4.72,-0.009999999999999787,-0.2119,464823.29,216800.595
000717.SZ,20200110,4.9,4.91,4.71,4.72,4.89,-0.16999999999999993,-3.4765,783995.06,373481.246
000717.SZ,20200109,5.08,5.08,4.81,4.89,4.95,-0.0600000000000005,-1.2121,886834.37,436059.249
000717.SZ,20200108,5.0,5.17,4.93,4.95,5.07,-0.1200000000000001,-2.3669,1371860.28,691429.754
000717.SZ,20200107,4.61,5.07,4.6,5.07,4.61,0.45999999999999996,9.9783,1610033.33,788956.247
000717.SZ,20200106,4.55,4.65,4.52,4.61,4.67,-0.05999999999999961,-1.2848,394031.11,181006.688
000717.SZ,20200103,4.75,4.76,4.66,4.67,4.78,-0.11000000000000032,-2.3013,500627.11,235306.119
000717.SZ,20200102,4.76,4.89,4.72,4.78,4.74,0.040000000000000036,0.8439,715725.22,342727.897
000717.SZ,20191231,4.67,4.81,4.59,4.74,4.68,0.0600000000000005,1.2821,727597.67,342785.096
000717.SZ,20191230,4.61,4.72,4.58,4.68,4.64,0.040000000000000036,0.8621,542348.81,252801.199
000717.SZ,20191227,4.57,4.75,4.54,4.64,4.59,0.04999999999999982,1.0893,594696.4,275736.719
000717.SZ,20191226,4.47,4.72,4.43,4.59,4.47,0.1200000000000001,2.6846,621923.37,285424.369
000717.SZ,20191225,4.5,4.52,4.42,4.47,4.52,-0.04999999999999982,-1.1062,354401.98,158380.763
000717.SZ,20191224,4.46,4.53,4.37,4.52,4.46,0.05999999999999961,1.3453,485076.15,216312.284
