ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000860.SZ,20200225,55.07,60.09,55.07,59.5,56.37,3.1300000000000026,5.5526,95356.84,553298.844
000860.SZ,20200224,55.04,57.45,55.04,56.37,56.41,-0.03999999999999915,-0.0709,65010.38,367004.254
000860.SZ,20200221,55.95,56.97,55.7,56.41,57.01,-0.6000000000000014,-1.0524,68137.79,383001.005
000860.SZ,20200220,54.0,57.5,54.0,57.01,54.0,3.009999999999998,5.5741,117118.16,656248.315
000860.SZ,20200219,51.13,54.24,51.13,54.0,51.68,2.3200000000000003,4.4892,103739.82,554112.696
000860.SZ,20200218,51.0,51.93,50.18,51.68,51.0,0.6799999999999997,1.3333,60455.5,309091.368
000860.SZ,20200217,50.25,51.28,49.86,51.0,50.3,0.7000000000000028,1.3917,47719.4,241483.749
000860.SZ,20200214,50.6,51.49,49.97,50.3,50.8,-0.5,-0.9843,48563.04,245044.695
000860.SZ,20200213,52.0,52.03,50.6,50.8,51.79,-0.990000000000002,-1.9116,33946.62,173711.154
000860.SZ,20200212,52.0,52.88,51.21,51.79,51.79,0.0,0.0,53963.63,279772.954
000860.SZ,20200211,51.33,53.0,50.9,51.79,51.33,0.46000000000000085,0.8962,64604.25,336630.922
000860.SZ,20200210,48.9,52.16,48.19,51.33,48.97,2.3599999999999994,4.8193,84256.04,428693.638
000860.SZ,20200207,48.18,49.94,47.8,48.97,48.2,0.769999999999996,1.5975,69078.88,338041.236
000860.SZ,20200206,47.69,48.48,47.2,48.2,47.8,0.4000000000000057,0.8368,56845.11,271912.637
000860.SZ,20200205,47.15,48.88,46.5,47.8,47.16,0.6400000000000006,1.3571,81250.09,388963.872
000860.SZ,20200204,44.0,47.47,44.0,47.16,47.16,0.0,0.0,179213.31,824154.111
000860.SZ,20200203,47.16,47.16,47.16,47.16,52.4,-5.240000000000002,-10.0,24398.0,115060.968
000860.SZ,20200123,53.34,54.1,50.7,52.4,53.42,-1.0200000000000031,-1.9094,109362.77,568655.001
000860.SZ,20200122,52.0,54.2,51.7,53.42,52.4,1.0200000000000031,1.9466,111197.7,592122.412
000860.SZ,20200121,53.98,53.98,52.1,52.4,54.25,-1.8500000000000014,-3.4101,114995.0,606895.962
000860.SZ,20200120,55.88,55.89,52.81,54.25,54.45,-0.20000000000000284,-0.3673,201657.78,1089466.793
000860.SZ,20200117,51.55,54.45,51.55,54.45,49.5,4.950000000000003,10.0,202430.23,1088563.024
000860.SZ,20200116,48.97,49.73,48.7,49.5,49.22,0.28000000000000114,0.5689,91530.27,451227.737
000860.SZ,20200115,48.59,49.3,48.18,49.22,48.18,1.0399999999999991,2.1586,159065.63,774117.571
000860.SZ,20200114,50.22,50.28,47.98,48.18,50.2,-2.020000000000003,-4.0239,286369.78,1395146.764
000860.SZ,20200113,51.6,53.0,49.81,50.2,52.37,-2.1699999999999946,-4.1436,218106.19,1108630.686
000860.SZ,20200110,51.48,52.8,50.86,52.37,51.52,0.8499999999999943,1.6498,106566.73,554217.902
000860.SZ,20200109,51.81,52.44,51.32,51.52,51.49,0.030000000000001137,0.0583,46264.6,239077.077
000860.SZ,20200108,51.4,52.31,51.13,51.49,51.9,-0.4099999999999966,-0.79,32375.65,167118.298
000860.SZ,20200107,50.5,52.05,50.4,51.9,50.68,1.2199999999999989,2.4073,49281.47,253391.161
000860.SZ,20200106,50.8,51.14,50.21,50.68,50.97,-0.28999999999999915,-0.569,49514.25,250383.254
000860.SZ,20200103,51.5,51.7,50.52,50.97,51.93,-0.9600000000000009,-1.8486,86404.41,440907.592
000860.SZ,20200102,52.2,52.67,50.5,51.93,52.68,-0.75,-1.4237,101631.58,523238.222
000860.SZ,20191231,52.5,52.97,51.5,52.68,52.53,0.14999999999999858,0.2856,66011.52,345433.002
000860.SZ,20191230,49.7,52.99,49.7,52.53,49.76,2.770000000000003,5.5667,95239.65,494909.135
000860.SZ,20191227,50.31,50.92,49.61,49.76,50.19,-0.4299999999999997,-0.8567,54759.44,275370.542
000860.SZ,20191226,48.55,50.19,48.2,50.19,48.4,1.7899999999999991,3.6983,68605.2,339993.684
000860.SZ,20191225,49.41,49.75,48.2,48.4,49.4,-1.0,-2.0243,61465.12,299094.455
000860.SZ,20191224,48.59,49.83,48.4,49.4,48.59,0.8099999999999952,1.667,49683.23,244920.405
000860.SZ,20191223,47.69,48.87,47.67,48.59,48.65,-0.05999999999999517,-0.1233,53746.34,260849.284
000860.SZ,20191220,48.3,48.85,48.08,48.65,48.3,0.3500000000000014,0.7246,58598.9,284551.149
000860.SZ,20191219,47.93,48.44,47.83,48.3,48.08,0.21999999999999886,0.4576,52483.71,252734.338
