ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000636.SZ,20200225,24.0,27.1,23.56,27.1,24.64,2.460000000000001,9.9838,1684317.67,4324308.734
000636.SZ,20200224,23.42,24.64,22.6,24.64,22.4,2.240000000000002,10.0,1236696.63,2940717.404
000636.SZ,20200221,21.7,23.4,21.7,22.4,21.33,1.0700000000000003,5.0164,1176374.64,2641024.423
000636.SZ,20200220,20.64,21.65,20.21,21.33,19.68,1.6499999999999986,8.3841,1245340.41,2613975.339
000636.SZ,20200219,20.24,20.38,19.66,19.68,20.6,-0.9200000000000017,-4.466,764080.06,1527981.409
000636.SZ,20200218,19.95,20.79,19.5,20.6,19.95,0.6500000000000021,3.2581,941871.68,1898588.467
000636.SZ,20200217,19.01,20.35,19.01,19.95,18.86,1.0899999999999999,5.7794,901619.15,1776415.471
000636.SZ,20200214,19.19,19.77,18.53,18.86,18.69,0.16999999999999815,0.9096,939740.27,1798254.127
000636.SZ,20200213,19.4,19.4,18.28,18.69,19.25,-0.5599999999999987,-2.9091,1001070.38,1885958.54
000636.SZ,20200212,17.86,19.25,17.62,19.25,17.5,1.75,10.0,1322937.06,2443088.603
000636.SZ,20200211,17.75,18.2,16.94,17.5,16.67,0.8299999999999983,4.979,865642.69,1507265.024
000636.SZ,20200210,16.18,17.16,16.05,16.67,16.17,0.5,3.0921,854864.84,1417277.307
000636.SZ,20200207,14.63,16.17,14.46,16.17,14.7,1.4700000000000024,10.0,903627.89,1388663.376
000636.SZ,20200206,14.49,14.98,14.22,14.7,14.5,0.1999999999999993,1.3793,546495.43,803107.335
000636.SZ,20200205,14.18,15.07,14.11,14.5,14.04,0.46000000000000085,3.2764,586861.85,856389.13
000636.SZ,20200204,13.3,14.43,13.3,14.04,14.71,-0.6700000000000017,-4.5547,767111.15,1076183.631
000636.SZ,20200203,14.71,14.71,14.71,14.71,16.34,-1.629999999999999,-9.9755,27628.0,40640.788
000636.SZ,20200123,17.61,17.65,16.34,16.34,18.15,-1.8099999999999987,-9.9725,873173.34,1479464.041
000636.SZ,20200122,17.4,18.35,17.09,18.15,17.65,0.5,2.8329,594764.53,1060959.848
000636.SZ,20200121,17.35,17.97,17.22,17.65,17.46,0.18999999999999773,1.0882,534178.01,945945.858
000636.SZ,20200120,17.15,17.53,16.7,17.46,17.14,0.3200000000000003,1.867,510027.19,878835.97
000636.SZ,20200117,17.65,17.79,17.08,17.14,17.57,-0.4299999999999997,-2.4474,465701.73,808929.382
000636.SZ,20200116,17.9,18.26,17.42,17.57,18.03,-0.46000000000000085,-2.5513,573279.77,1016541.792
000636.SZ,20200115,18.41,18.75,17.88,18.03,18.11,-0.0799999999999983,-0.4417,682113.6,1250261.339
000636.SZ,20200114,17.99,18.25,17.51,18.11,17.81,0.3000000000000007,1.6844,652688.16,1168150.674
000636.SZ,20200113,17.1,18.04,17.1,17.81,17.36,0.4499999999999993,2.5922,616132.8,1086143.763
000636.SZ,20200110,17.55,17.84,17.08,17.36,17.75,-0.39000000000000057,-2.1972,582081.43,1015382.752
