ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600723.SH,20200225,5.51,5.55,5.4,5.51,5.6,-0.08999999999999986,-1.6071,73482.03,40300.041
600723.SH,20200224,5.63,5.64,5.56,5.6,5.66,-0.0600000000000005,-1.0601,54115.15,30280.684
600723.SH,20200221,5.67,5.69,5.63,5.66,5.7,-0.040000000000000036,-0.7018,76706.15,43414.58
600723.SH,20200220,5.58,5.72,5.56,5.7,5.57,0.1299999999999999,2.3339,125652.28,70880.971
600723.SH,20200219,5.58,5.62,5.55,5.57,5.59,-0.019999999999999574,-0.3578,84795.37,47331.942
600723.SH,20200218,5.6,5.6,5.53,5.59,5.6,-0.009999999999999787,-0.1786,73831.0,41158.168
600723.SH,20200217,5.47,5.6,5.45,5.6,5.48,0.11999999999999922,2.1898,73713.0,40839.178
600723.SH,20200214,5.49,5.52,5.44,5.48,5.5,-0.019999999999999574,-0.3636,35786.0,19599.313
600723.SH,20200213,5.54,5.6,5.48,5.5,5.57,-0.07000000000000028,-1.2567,51726.0,28616.341
600723.SH,20200212,5.58,5.63,5.51,5.57,5.64,-0.0699999999999994,-1.2411,63611.01,35279.85
600723.SH,20200211,5.6,5.77,5.59,5.64,5.47,0.16999999999999993,3.1079,88223.62,49867.822
600723.SH,20200210,5.39,5.49,5.37,5.47,5.41,0.05999999999999961,1.1091,61115.67,33273.804
600723.SH,20200207,5.4,5.42,5.35,5.41,5.42,-0.009999999999999787,-0.1845,29547.5,15907.906
600723.SH,20200206,5.4,5.44,5.32,5.42,5.39,0.03000000000000025,0.5566,40971.45,22022.667
600723.SH,20200205,5.33,5.48,5.32,5.39,5.34,0.04999999999999982,0.9363,41367.0,22344.893
600723.SH,20200204,5.25,5.37,5.23,5.34,5.35,-0.009999999999999787,-0.1869,47405.37,25120.936
600723.SH,20200203,5.4,5.4,5.35,5.35,5.94,-0.5900000000000007,-9.9327,29536.0,15837.777
600723.SH,20200123,6.09,6.1,5.88,5.94,6.12,-0.17999999999999972,-2.9412,36351.0,21770.868
600723.SH,20200122,6.15,6.15,6.04,6.12,6.14,-0.019999999999999574,-0.3257,23506.99,14317.713
600723.SH,20200121,6.2,6.21,6.11,6.14,6.22,-0.08000000000000007,-1.2862,30202.11,18588.781
600723.SH,20200120,6.2,6.23,6.19,6.22,6.2,0.019999999999999574,0.3226,16678.6,10355.901
600723.SH,20200117,6.24,6.26,6.2,6.2,6.23,-0.03000000000000025,-0.4815,20991.85,13060.55
600723.SH,20200116,6.29,6.32,6.22,6.23,6.29,-0.05999999999999961,-0.9539,25051.59,15692.35
600723.SH,20200115,6.31,6.31,6.25,6.29,6.31,-0.019999999999999574,-0.317,23542.98,14761.405
600723.SH,20200114,6.28,6.35,6.26,6.31,6.28,0.02999999999999936,0.4777,30699.46,19355.809
600723.SH,20200113,6.26,6.3,6.22,6.28,6.26,0.020000000000000462,0.3195,31812.5,19904.338
600723.SH,20200110,6.25,6.33,6.23,6.26,6.23,0.02999999999999936,0.4815,33337.01,20896.033
600723.SH,20200109,6.19,6.24,6.18,6.23,6.16,0.07000000000000028,1.1364,19836.0,12337.522
600723.SH,20200108,6.27,6.27,6.13,6.16,6.27,-0.10999999999999943,-1.7544,32797.0,20331.402
600723.SH,20200107,6.16,6.27,6.16,6.27,6.17,0.09999999999999964,1.6207,40617.33,25251.616
600723.SH,20200106,6.15,6.19,6.13,6.17,6.16,0.009999999999999787,0.1623,30475.66,18777.078
600723.SH,20200103,6.15,6.18,6.14,6.16,6.16,0.0,0.0,23752.86,14622.428
600723.SH,20200102,6.14,6.18,6.12,6.16,6.12,0.040000000000000036,0.6536,32731.49,20146.684
600723.SH,20191231,6.1,6.13,6.07,6.12,6.11,0.009999999999999787,0.1637,21275.34,12969.619
600723.SH,20191230,6.07,6.12,5.99,6.11,6.09,0.020000000000000462,0.3284,32755.02,19883.443
600723.SH,20191227,6.08,6.12,6.06,6.09,6.07,0.019999999999999574,0.3295,26886.0,16349.945
600723.SH,20191226,6.05,6.08,6.03,6.07,6.05,0.020000000000000462,0.3306,14365.01,8695.448
600723.SH,20191225,6.03,6.06,6.01,6.05,6.04,0.009999999999999787,0.1656,15828.0,9546.72
600723.SH,20191224,5.98,6.05,5.98,6.04,5.98,0.05999999999999961,1.0033,17114.01,10289.745
600723.SH,20191223,6.11,6.13,5.97,5.98,6.09,-0.10999999999999943,-1.8062,28609.0,17316.82
600723.SH,20191220,6.17,6.19,6.09,6.09,6.17,-0.08000000000000007,-1.2966,25184.2,15477.601
600723.SH,20191219,6.16,6.18,6.12,6.17,6.16,0.009999999999999787,0.1623,24877.39,15315.638
600723.SH,20191218,6.18,6.19,6.13,6.16,6.16,0.0,0.0,25904.9,15965.682
600723.SH,20191217,6.13,6.18,6.1,6.16,6.13,0.03000000000000025,0.4894,30394.54,18661.207
600723.SH,20191216,6.14,6.14,6.07,6.13,6.12,0.009999999999999787,0.1634,26758.26,16332.79
600723.SH,20191213,6.12,6.14,6.09,6.12,6.1,0.020000000000000462,0.3279,22896.0,14005.91
600723.SH,20191212,6.1,6.12,6.07,6.1,6.1,0.0,0.0,13829.01,8427.943
600723.SH,20191211,6.11,6.12,6.08,6.1,6.1,0.0,0.0,16575.64,10116.17
600723.SH,20191210,6.1,6.12,6.07,6.1,6.1,0.0,0.0,18232.0,11116.809
600723.SH,20191209,6.11,6.12,6.05,6.1,6.09,0.009999999999999787,0.1642,25915.08,15752.617
600723.SH,20191206,6.01,6.11,5.97,6.09,5.99,0.09999999999999964,1.6694,48829.68,29638.634
600723.SH,20191205,6.01,6.03,5.95,5.99,5.99,0.0,0.0,17902.0,10734.658
600723.SH,20191204,5.95,6.03,5.93,5.99,5.97,0.020000000000000462,0.335,22553.04,13508.923
600723.SH,20191203,5.88,5.97,5.88,5.97,5.9,0.0699999999999994,1.1864,16397.68,9711.258
600723.SH,20191202,5.86,5.92,5.85,5.9,5.88,0.020000000000000462,0.3401,12450.2,7334.277
600723.SH,20191129,5.89,5.91,5.83,5.88,5.9,-0.020000000000000462,-0.339,13741.1,8056.588
600723.SH,20191128,5.94,5.95,5.87,5.9,5.94,-0.040000000000000036,-0.6734,10995.21,6504.961
600723.SH,20191127,5.95,5.96,5.91,5.94,5.94,0.0,0.0,10298.1,6108.395
600723.SH,20191126,5.94,5.97,5.9,5.94,5.93,0.010000000000000675,0.1686,20756.08,12317.89
600723.SH,20191125,5.85,5.95,5.82,5.93,5.85,0.08000000000000007,1.3675,19305.08,11413.447
600723.SH,20191122,5.83,5.88,5.82,5.85,5.82,0.02999999999999936,0.5155,14144.09,8272.292
600723.SH,20191121,5.84,5.84,5.79,5.82,5.84,-0.019999999999999574,-0.3425,7774.0,4518.995
600723.SH,20191120,5.88,5.89,5.83,5.84,5.88,-0.040000000000000036,-0.6803,13859.0,8126.125
600723.SH,20191119,5.84,5.9,5.83,5.88,5.83,0.04999999999999982,0.8576,12453.66,7305.258
600723.SH,20191118,5.79,5.84,5.77,5.83,5.79,0.040000000000000036,0.6908,12234.0,7107.902
