ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000959.SZ,20200225,3.07,3.07,3.01,3.04,3.11,-0.06999999999999984,-2.2508,244891.01,74532.86
000959.SZ,20200224,3.18,3.18,3.1,3.11,3.17,-0.06000000000000005,-1.8927,227381.35,71057.362
000959.SZ,20200221,3.18,3.18,3.14,3.17,3.19,-0.020000000000000018,-0.627,265324.89,83769.869
000959.SZ,20200220,3.17,3.2,3.13,3.19,3.16,0.029999999999999805,0.9494,204392.05,64519.651
000959.SZ,20200219,3.24,3.25,3.15,3.16,3.25,-0.08999999999999986,-2.7692,248903.94,79164.003
000959.SZ,20200218,3.26,3.27,3.23,3.25,3.26,-0.009999999999999787,-0.3067,73061.97,23701.816
000959.SZ,20200217,3.22,3.27,3.22,3.26,3.23,0.029999999999999805,0.9288,69017.59,22478.335
000959.SZ,20200214,3.24,3.26,3.21,3.23,3.24,-0.010000000000000231,-0.3086,60074.36,19435.238
000959.SZ,20200213,3.26,3.28,3.22,3.24,3.26,-0.019999999999999574,-0.6135,59806.3,19429.443
000959.SZ,20200212,3.28,3.29,3.21,3.26,3.33,-0.07000000000000028,-2.1021,112052.19,36440.075
000959.SZ,20200211,3.23,3.35,3.2,3.33,3.23,0.10000000000000009,3.096,152909.92,50365.808
000959.SZ,20200210,3.1,3.24,3.09,3.23,3.16,0.06999999999999984,2.2152,113176.98,35903.238
000959.SZ,20200207,3.05,3.16,3.02,3.16,3.04,0.1200000000000001,3.9474,121284.51,37140.761
000959.SZ,20200206,3.05,3.06,3.02,3.04,3.04,0.0,0.0,90262.13,27396.245
000959.SZ,20200205,3.0,3.08,3.0,3.04,3.0,0.040000000000000036,1.3333,103505.73,31465.367
000959.SZ,20200204,2.87,3.05,2.87,3.0,3.02,-0.020000000000000018,-0.6623,127141.09,38110.718
000959.SZ,20200203,3.02,3.08,3.02,3.02,3.35,-0.33000000000000007,-9.8507,103335.97,31269.161
000959.SZ,20200123,3.4,3.41,3.33,3.35,3.42,-0.06999999999999984,-2.0468,81366.7,27387.748
000959.SZ,20200122,3.4,3.43,3.36,3.42,3.41,0.009999999999999787,0.2933,67988.4,23047.83
000959.SZ,20200121,3.45,3.46,3.41,3.41,3.46,-0.04999999999999982,-1.4451,66972.48,22883.938
000959.SZ,20200120,3.44,3.46,3.41,3.46,3.44,0.020000000000000018,0.5814,51047.44,17532.293
000959.SZ,20200117,3.45,3.47,3.44,3.44,3.45,-0.010000000000000231,-0.2899,43327.85,14952.468
000959.SZ,20200116,3.48,3.48,3.45,3.45,3.47,-0.020000000000000018,-0.5764,48111.08,16656.682
000959.SZ,20200115,3.52,3.52,3.47,3.47,3.52,-0.04999999999999982,-1.4205,65498.83,22805.623
000959.SZ,20200114,3.51,3.53,3.5,3.52,3.51,0.010000000000000231,0.2849,65544.7,23066.524
000959.SZ,20200113,3.49,3.51,3.46,3.51,3.49,0.019999999999999574,0.5731,72201.4,25157.575
000959.SZ,20200110,3.51,3.53,3.48,3.49,3.52,-0.029999999999999805,-0.8523,64290.51,22493.936
000959.SZ,20200109,3.53,3.54,3.51,3.52,3.51,0.010000000000000231,0.2849,74514.77,26258.005
000959.SZ,20200108,3.57,3.57,3.49,3.51,3.57,-0.06000000000000005,-1.6807,117534.67,41404.955
000959.SZ,20200107,3.52,3.57,3.51,3.57,3.52,0.04999999999999982,1.4205,146591.63,52109.265
000959.SZ,20200106,3.52,3.55,3.5,3.52,3.54,-0.020000000000000018,-0.565,104449.31,36825.22
000959.SZ,20200103,3.56,3.57,3.53,3.54,3.55,-0.009999999999999787,-0.2817,67795.89,24038.159
000959.SZ,20200102,3.55,3.58,3.54,3.55,3.53,0.020000000000000018,0.5666,125009.26,44472.458
000959.SZ,20191231,3.5,3.54,3.49,3.53,3.51,0.020000000000000018,0.5698,91546.12,32184.869
000959.SZ,20191230,3.47,3.51,3.45,3.51,3.47,0.03999999999999959,1.1527,93764.28,32714.85
000959.SZ,20191227,3.45,3.5,3.44,3.47,3.45,0.020000000000000018,0.5797,94930.28,32952.483
000959.SZ,20191226,3.44,3.46,3.43,3.45,3.44,0.010000000000000231,0.2907,50730.77,17467.914
000959.SZ,20191225,3.45,3.46,3.43,3.44,3.45,-0.010000000000000231,-0.2899,48150.92,16557.435
000959.SZ,20191224,3.44,3.47,3.42,3.45,3.44,0.010000000000000231,0.2907,43801.89,15072.405
000959.SZ,20191223,3.49,3.5,3.43,3.44,3.49,-0.050000000000000266,-1.4327,74952.78,25946.446
