ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600808.SH,20200225,2.72,2.72,2.66,2.7,2.74,-0.040000000000000036,-1.4599,285839.41,77014.902
600808.SH,20200224,2.77,2.78,2.73,2.74,2.79,-0.04999999999999982,-1.7921,210089.33,57822.273
600808.SH,20200221,2.81,2.82,2.77,2.79,2.81,-0.020000000000000018,-0.7117,193821.9,54108.686
600808.SH,20200220,2.74,2.84,2.72,2.81,2.73,0.08000000000000007,2.9304,395361.44,110016.083
600808.SH,20200219,2.74,2.75,2.72,2.73,2.74,-0.010000000000000231,-0.365,170335.09,46625.593
600808.SH,20200218,2.77,2.78,2.73,2.74,2.78,-0.03999999999999959,-1.4388,211546.29,58223.992
600808.SH,20200217,2.75,2.79,2.74,2.78,2.75,0.029999999999999805,1.0909,160040.78,44306.542
600808.SH,20200214,2.73,2.75,2.71,2.75,2.72,0.029999999999999805,1.1029,139093.23,38045.021
600808.SH,20200213,2.76,2.77,2.72,2.72,2.76,-0.03999999999999959,-1.4493,148224.81,40562.506
600808.SH,20200212,2.75,2.76,2.71,2.76,2.76,0.0,0.0,146909.38,40147.728
600808.SH,20200211,2.7,2.82,2.7,2.76,2.71,0.04999999999999982,1.845,230099.0,63723.865
600808.SH,20200210,2.65,2.71,2.64,2.71,2.66,0.04999999999999982,1.8797,192361.06,51508.256
600808.SH,20200207,2.66,2.67,2.64,2.66,2.68,-0.020000000000000018,-0.7463,140442.42,37271.263
600808.SH,20200206,2.68,2.69,2.63,2.68,2.67,0.010000000000000231,0.3745,199380.66,53052.096
600808.SH,20200205,2.66,2.72,2.65,2.67,2.65,0.020000000000000018,0.7547,205664.01,55076.474
600808.SH,20200204,2.58,2.7,2.58,2.65,2.65,0.0,0.0,254006.94,67501.518
600808.SH,20200203,2.56,2.65,2.56,2.65,2.84,-0.18999999999999995,-6.6901,393032.5,101049.902
600808.SH,20200123,2.9,2.91,2.82,2.84,2.94,-0.10000000000000009,-3.4014,197993.95,56584.443
600808.SH,20200122,2.89,2.97,2.85,2.94,2.9,0.040000000000000036,1.3793,145863.81,42422.21
600808.SH,20200121,2.97,2.97,2.9,2.9,2.96,-0.06000000000000005,-2.027,156668.01,45769.576
600808.SH,20200120,2.99,3.0,2.96,2.96,2.99,-0.03000000000000025,-1.0033,81339.71,24184.61
