ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600727.SH,20200225,7.73,7.93,7.47,7.83,8.03,-0.1999999999999993,-2.4907,186162.29,144725.871
600727.SH,20200224,7.83,8.27,7.69,8.03,7.89,0.13999999999999968,1.7744,226946.8,180842.725
600727.SH,20200221,8.03,8.19,7.86,7.89,8.18,-0.29000000000000004,-3.5452,240695.36,192059.896
600727.SH,20200220,7.9,8.55,7.83,8.18,8.12,0.0600000000000005,0.7389,350263.39,286544.222
600727.SH,20200219,7.54,8.36,7.42,8.12,7.69,0.4299999999999988,5.5917,397701.31,309739.343
600727.SH,20200218,7.81,7.88,7.61,7.69,8.09,-0.39999999999999947,-4.9444,350584.11,270502.787
600727.SH,20200217,7.8,8.37,7.67,8.09,7.61,0.47999999999999954,6.3075,536436.44,434212.546
600727.SH,20200214,6.9,7.61,6.88,7.61,6.92,0.6900000000000004,9.9711,341317.07,251804.283
600727.SH,20200213,6.9,7.26,6.9,6.92,6.74,0.17999999999999972,2.6706,176083.89,123914.257
600727.SH,20200212,6.66,6.76,6.62,6.74,6.69,0.04999999999999982,0.7474,53999.55,36211.658
600727.SH,20200211,6.79,6.83,6.67,6.69,6.84,-0.14999999999999947,-2.193,67902.23,45727.674
600727.SH,20200210,6.59,6.85,6.51,6.84,6.63,0.20999999999999996,3.1674,98710.32,66259.446
600727.SH,20200207,6.65,6.71,6.51,6.63,6.68,-0.04999999999999982,-0.7485,69448.06,45892.897
600727.SH,20200206,6.58,6.76,6.51,6.68,6.59,0.08999999999999986,1.3657,77488.55,51400.111
600727.SH,20200205,6.5,6.67,6.45,6.59,6.52,0.07000000000000028,1.0736,73284.53,48109.217
600727.SH,20200204,6.2,6.53,6.19,6.52,6.48,0.03999999999999915,0.6173,80666.26,51891.651
600727.SH,20200203,6.48,6.49,6.48,6.48,7.2,-0.7199999999999998,-10.0,28014.0,18154.228
600727.SH,20200123,7.38,7.44,7.05,7.2,7.38,-0.17999999999999972,-2.439,104044.2,75327.701
600727.SH,20200122,7.21,7.39,7.11,7.38,7.13,0.25,3.5063,120713.64,88013.925
600727.SH,20200121,7.27,7.27,7.1,7.13,7.26,-0.1299999999999999,-1.7906,48826.69,34929.361
600727.SH,20200120,7.13,7.27,7.1,7.26,7.13,0.1299999999999999,1.8233,50096.49,36079.604
600727.SH,20200117,7.1,7.17,7.1,7.13,7.11,0.019999999999999574,0.2813,31185.69,22251.395
600727.SH,20200116,7.2,7.22,7.09,7.11,7.18,-0.0699999999999994,-0.9749,39749.01,28368.366
600727.SH,20200115,7.25,7.29,7.15,7.18,7.27,-0.08999999999999986,-1.238,42306.0,30441.226
600727.SH,20200114,7.31,7.34,7.19,7.27,7.29,-0.020000000000000462,-0.2743,54931.94,39854.133
600727.SH,20200113,7.17,7.29,7.1,7.29,7.17,0.1200000000000001,1.6736,66171.06,47661.488
600727.SH,20200110,7.21,7.23,7.11,7.17,7.2,-0.03000000000000025,-0.4167,46786.83,33510.081
600727.SH,20200109,7.06,7.26,7.06,7.2,7.0,0.20000000000000018,2.8571,96670.71,69316.692
600727.SH,20200108,7.16,7.16,6.98,7.0,7.17,-0.16999999999999993,-2.371,74781.9,52834.849
